iteration,compliance,occupancy_volume,printed_voxels,achieved_vf,offset_mm,dt_mm_per_unit_v,max_abs_v,lambda,cg_iterations,converged,used_multigrid,solve_ms,sensitivity_ms,band_cells,hilb_iterations,hilb_relres,reinit_rms,reinit_max,hj_steps,gamma,kappa_rms,perim_weight,interface_area_mm2,robust_worst,robust_ratio,nuc_frozen,diffusion_energy,diffusion_ratio,void_components,euler_chi,cavities,tunnels,mono_violations,mono_reverts,mono_repaired_voxels,new_components,split_delta,iteration_wall_s
1,0.00334613016148,88423,88423,0.79729315444,0.33208378033,0.0483362901927,2.65238252707e-10,2.63053207257e-11,1085,1,0,76932.4953752,15.625,61467,0,0,0.378166109528,0.99985652937,0,0.1,0.500979172428,1,73803.6123535,1,1,0,0,0,882,356,46,572,0,0,0,0,0,77.2061057501
2,0.00307555204738,88423,88423,0.79729315444,-0.0422676666465,0.0483362901927,2.41040676791e-10,2.21403923971e-11,1791,1,0,15689.2529998,12.3302502632,56766,0,0,0.36028298087,0.999518866617,0,0.1,0.496551932375,1,69997.0538577,1,1,0,0,0,886,-293,57,1236,1,0,0,4,0,15.8593739998
3,0.00293813756237,88424,88424,0.797302171247,-0.0145923435335,0.0483362901927,2.12742587868e-10,1.90025488504e-11,1789,1,0,15546.9550419,12.3081250191,50909,0,0,0.362137385412,0.999827673374,0,0.1,0.479589195971,1,68003.982282,1,1,0,0,0,863,-790,66,1719,2,0,0,5,-28,15.7102923752
4,0.00294939499554,88424,88424,0.797302171247,0.04605366124,0.0483362901927,2.13154599843e-10,1.71680209752e-11,1829,1,0,10157.7684999,12.4774580002,50800,0,0,0.372310169457,0.999792128373,0,0.1,0.478597468654,1,69801.5105407,1,1,0,0,0,865,-883,66,1814,2,0,0,0,2,10.3373942082
5,0.00287058661287,88424,88424,0.797302171247,0.00140440077593,0.0483362901927,2.20124163986e-10,1.5163185393e-11,1821,1,0,10461.1696672,12.3459157944,50493,0,0,0.362306064954,0.99951710186,0,0.1,0.483204179992,1,67156.3448643,1,1,0,0,0,561,-370,73,1004,3,0,0,1,-305,20.8890352082
6,0.00275857508449,88424,88424,0.797302171247,-0.017540377661,0.0483362901927,2.12205278297e-10,1.19478778059e-11,1832,1,0,10387.4334588,12.084332943,43046,0,0,0.362001551059,0.999697211203,0,0.1,0.49942124784,1,61196.7024703,1,1,0,0,0,474,-52,73,599,3,0,0,0,-87,10.6310026669
7,0.00264672156537,88423,88423,0.79729315444,-0.0442869264069,0.0483362901927,1.59822698561e-10,9.879565311e-12,1831,1,0,10625.148541,12.189125061,40550,0,0,0.36362704566,0.99951710186,0,0.1,0.499938975938,1,56100.004148,1,1,0,0,0,482,29,73,526,3,0,0,0,8,10.843092625
8,0.00260415863903,88423,88423,0.79729315444,-0.00119375885163,0.0483362901927,1.35718982497e-10,8.58733954559e-12,1847,1,0,10334.1827908,11.6165423393,35859,0,0,0.364468200486,0.99951710186,0,0.1,0.487097225909,1,53611.2929939,1,1,0,0,0,480,375,80,185,4,0,0,5,-7,10.4886767082
9,0.00253618761669,88424,88424,0.797302171247,-0.0311766241243,0.0483362901927,1.24983395503e-10,6.68922552857e-12,1832,1,0,10327.1065841,17.9073748589,34251,0,0,0.311323837392,0.99951710186,0,0.1,0.492653949602,1,49377.0489595,1,1,0,0,0,476,275,81,282,5,0,0,1,-5,10.5393710406
10,0.00250039946874,88424,88424,0.797302171247,-0.00775386146862,0.0483362901927,1.08704646312e-10,5.48939504209e-12,1840,1,0,10400.0648327,11.7250003815,31805,0,0,0.327331531523,0.999683287165,0,0.1,0.49882875412,1,46256.2891933,1,1,0,0,0,476,179,81,378,6,0,0,1,-1,20.367509291
11,0.00248304252071,88423,88423,0.79729315444,0.0147261341249,0.0483362901927,1.0069395511e-10,5.51438072734e-12,1928,1,0,10986.6599998,12.4770421982,27421,0,0,0.318616448019,0.999683287165,0,0.1,0.484475878965,1,37673.7010519,1,1,0,0,0,441,296,131,276,6,0,0,0,-35,11.237332833
12,0.00246557755201,88424,88424,0.797302171247,0.00195990656187,0.0483362901927,8.30719118956e-11,4.8298212915e-12,2058,1,0,11421.8864999,12.6187500954,26968,0,0,0.318698599577,0.999683287165,0,0.1,0.483542207403,1,34256.715263,1,1,0,0,0,396,273,166,289,6,0,0,0,-45,11.5750808334
13,0.00244710749892,88424,88424,0.797302171247,-0.00498098952946,0.0483362901927,6.346482598e-11,3.96165527772e-12,2197,1,0,12345.6837082,11.6809167862,25699,0,0,0.32129609835,0.999683287165,0,0.1,0.483448310893,1,31176.3508576,1,1,0,0,0,369,281,171,259,6,0,0,0,-27,12.556357875
14,0.00243033062848,88424,88424,0.797302171247,-0.00856215322659,0.0483362901927,5.11767734633e-11,3.15536618881e-12,2385,1,0,13288.3600001,12.4687919617,22894,0,0,0.330912884324,0.999683287165,0,0.1,0.474053874639,1,28618.8574566,1,1,0,0,0,292,249,102,145,6,0,0,0,-77,13.5005604997
15,0.0024195744512,88424,88424,0.797302171247,-1.7006418554e-06,0.0483362901927,4.48311408078e-11,2.6766599487e-12,2473,1,0,13549.7920408,11.8817090988,19929,0,0,0.261105770645,0.998475187324,0,0.1,0.477218514982,1,26167.6678011,1,1,0,0,0,198,157,33,74,6,0,0,0,-94,23.7958265413
16,0.00241173118363,88423,88423,0.79729315444,0.0324691934288,0.0483362901927,3.94412928545e-11,1.96024790234e-12,2703,1,0,15118.8345408,12.6143751144,14827,0,0,0.316674921349,0.999966951893,0,0.1,0.476527097862,1,20281.9411958,1,1,0,0,0,82,84,20,18,7,0,0,1,-117,15.3616104578
17,0.00240554677606,88423,88423,0.79729315444,-0.00982117605352,0.0483362901927,2.88699964588e-11,1.79774700484e-12,2720,1,0,15225.0015001,13.1510839462,13846,0,0,0.314658934827,0.999966951893,0,0.1,0.480199055583,1,18965.2710162,1,1,0,0,0,79,63,21,37,7,0,0,0,-3,15.4384853751
