iteration,compliance,occupancy_volume,printed_voxels,achieved_vf,offset_mm,dt_mm_per_unit_v,max_abs_v,lambda,cg_iterations,converged,used_multigrid,solve_ms,sensitivity_ms,band_cells,hilb_iterations,hilb_relres,reinit_rms,reinit_max,hj_steps,gamma,kappa_rms,perim_weight,interface_area_mm2,robust_worst,robust_ratio,nuc_frozen,diffusion_energy,diffusion_ratio,void_components,euler_chi,cavities,tunnels,mono_violations,mono_reverts,mono_repaired_voxels,new_components,split_delta,iteration_wall_s
1,0.00346331662609,88423,88423,0.79729315444,-0.511670902798,0.0483362901927,3.19240994822e-10,1.9487848135e-11,1128,1,0,98794.5707498,13.3717083931,18467,0,0,0.0980646006683,0.537989871356,0,0.1,0,0,28683.6893718,1,1,0,0,0,11,4,0,7,0,0,0,0,0,99.0073978752
2,0.00339130512141,88424,88424,0.797302171247,0.000164482541219,0.0483362901927,2.82642647145e-10,1.83517582149e-11,2278,1,0,20095.02,12.4902091026,19001,0,0,0.0990718061318,0.537988840977,0,0.1,0,0,28653.0556637,1,1,0,0,0,9,4,0,5,0,0,0,0,-2,20.2515715412
3,0.00333203701941,88423,88423,0.79729315444,0.00613538906246,0.0483362901927,2.29087951345e-10,1.73661996132e-11,2284,1,0,20448.3739581,13.0920000076,18817,0,0,0.104291330176,0.666174107031,0,0.1,0,0,28684.8004447,1,1,0,0,0,14,9,0,5,1,0,0,1,4,20.6682821247
4,0.00329692612653,88424,88424,0.797302171247,0.0209412295748,0.0483362901927,2.03308941203e-10,1.67264332296e-11,2290,1,0,14178.2551665,11.5582914352,18754,0,0,0.107093161858,0.669272583572,0,0.1,0,0,28846.5679984,1,1,0,0,0,14,10,0,4,2,0,0,1,-1,14.3261805838
5,0.00323218983163,88424,88424,0.797302171247,-0.000752462858604,0.0483362901927,1.80698686185e-10,1.59448625762e-11,2297,1,0,14268.9703341,13.5447912216,19149,0,0,0.115420883968,0.596351561237,0,0.1,0,0,28780.3422086,1,1,0,0,0,15,9,0,6,3,0,0,1,0,24.4045370421
6,0.00316109413627,88424,88424,0.797302171247,-0.0050064592109,0.0483362901927,2.06766870729e-10,1.50140813984e-11,2333,1,0,14332.3658748,12.4877910614,17606,0,0,0.115045862549,0.581064158503,0,0.1,0,0,28173.5285533,1,1,0,0,0,19,10,0,9,4,0,0,2,2,14.4786738749
7,0.00310892707682,88424,88424,0.797302171247,-0.00226452825634,0.0483362901927,1.98608755354e-10,1.43762840365e-11,2325,1,0,14548.7055421,12.9268751144,17914,0,0,0.115007792039,0.564658367865,0,0.1,0,0,28094.01006,1,1,0,0,0,22,8,0,14,5,0,0,2,1,14.760509917
8,0.00306487203354,88423,88423,0.79729315444,0.00308955035308,0.0483362901927,1.8111684776e-10,1.37269693423e-11,2278,1,0,14069.6204166,11.5458750725,17702,0,0,0.114787268276,0.548342466638,0,0.1,0,0,28115.2503495,1,1,0,0,0,15,-1,0,16,6,0,0,1,-8,14.2213827088
9,0.00302395123505,88424,88424,0.797302171247,0.00426021571991,0.0483362901927,1.8537519784e-10,1.31308840314e-11,2298,1,0,14077.3597088,11.5343332291,17479,0,0,0.114957911106,0.532600118736,0,0.1,0,0,28140.1067494,1,1,0,0,0,15,2,0,13,7,0,0,1,-1,14.2256720001
10,0.00297426373353,88423,88423,0.79729315444,-0.00690829649175,0.0483362901927,1.87762490495e-10,1.23465321214e-11,2330,1,0,14242.2290421,11.8671660423,17641,0,0,0.123516926536,0.619093154396,0,0.1,0,0,28019.2792635,1,1,0,0,0,15,2,0,13,8,0,0,1,-1,25.4379155003
11,0.00293022504221,88423,88423,0.79729315444,0.00299189278446,0.0483362901927,1.87622777388e-10,1.16236842572e-11,2354,1,0,14450.6497083,11.7609586716,17140,0,0,0.123198873321,0.598833883554,0,0.1,0,0,27737.3235008,1,1,0,0,0,23,6,0,17,9,0,0,3,5,14.6066283337
12,0.00289832590787,88424,88424,0.797302171247,0.00525068208304,0.0483362901927,1.6851712229e-10,1.11004150089e-11,2375,1,0,14483.7030826,11.6527500153,17404,0,0,0.12269397462,0.568532895107,0,0.1,0,0,27632.1938886,1,1,0,0,0,25,6,0,19,10,0,0,2,0,14.6327959588
13,0.00286943176649,88424,88424,0.797302171247,0.00718023810874,0.0483362901927,1.53288093359e-10,1.06952048577e-11,2352,1,0,14623.3615003,11.6927499771,17390,0,0,0.122650882636,0.538400831192,0,0.1,0,0,27547.3729316,1,1,0,0,0,26,5,0,21,11,0,0,4,-3,14.772834958
14,0.00283649326351,88424,88424,0.797302171247,0.000631693847554,0.0483362901927,1.5521844434e-10,1.03207232181e-11,2292,1,0,14166.5977912,11.5295419693,17476,0,0,0.123367941943,0.524163357577,0,0.1,0,0,27411.5156547,1,1,0,0,0,27,11,0,16,12,0,0,3,-2,14.3147577504
15,0.00280309618243,88424,88424,0.797302171247,-0.0012860413846,0.0483362901927,1.48058248501e-10,9.96179094226e-12,2279,1,0,14195.8440409,11.5787091255,17466,0,0,0.118064067013,0.55967547732,0,0.1,0,0,27263.3316715,1,1,0,0,0,25,10,0,15,13,0,0,1,-3,24.296749041
16,0.00277189217423,88423,88423,0.79729315444,-0.000961751225663,0.0483362901927,1.36591916151e-10,9.56025387475e-12,2268,1,0,13543.014792,11.6340827942,16895,0,0,0.118163329141,0.726922055706,0,0.1,0,0,26825.0678286,1,1,0,0,0,26,6,0,20,14,0,0,1,0,13.6907694582
17,0.0027338881067,88423,88423,0.79729315444,-0.0135183833092,0.0483362901927,1.5306662026e-10,9.19636945491e-12,2267,1,0,13796.4415827,11.5849590302,16856,0,0,0.119383415877,0.726575577066,0,0.1,0,0,26540.7786227,1,1,0,0,0,27,6,0,21,15,0,0,1,0,13.9445387498
18,0.00270024165332,88424,88424,0.797302171247,-0.00795394529911,0.0483362901927,1.65434753416e-10,8.9234756152e-12,2269,1,0,14481.5135832,11.5131669044,16761,0,0,0.122888125163,0.924119012725,0,0.1,0,0,26294.7453346,1,1,0,0,0,28,6,0,22,15,0,0,0,1,14.6282692919
19,0.00267762072813,88423,88423,0.79729315444,0.008455509672,0.0483362901927,1.60913871983e-10,8.75356338806e-12,2275,1,0,14985.1245408,11.9338340759,16717,0,0,0.126063878624,0.940567870788,0,0.1,0,0,26169.508579,1,1,0,0,0,28,4,0,24,16,0,0,3,-3,15.1451297919
20,0.00265705377057,88424,88424,0.797302171247,0.0116672096357,0.0483362901927,1.49217234001e-10,8.63190654431e-12,2288,1,0,14099.0060406,11.6526670456,17144,0,0,0.12865594919,0.932222954344,0,0.1,0,0,26010.8454857,1,1,0,0,0,27,5,0,22,17,0,0,3,-4,24.4020330827
21,0.00264010966582,88424,88424,0.797302171247,0.00145514132199,0.0483362901927,1.52364097068e-10,8.432060925e-12,2013,1,0,12768.310708,11.562707901,16535,0,0,0.130658315695,0.949309964412,0,0.1,0,0,25633.9721653,1,1,0,0,0,28,5,0,23,18,0,0,1,0,12.923452416
22,0.00261413568526,88424,88424,0.797302171247,0.000655025520465,0.0483362901927,1.32666653449e-10,8.24650429863e-12,2061,1,0,12855.793417,11.8422079086,16304,0,0,0.133276422647,0.965389201491,0,0.1,0,0,25421.8677696,1,1,0,0,0,27,7,0,20,19,0,0,2,-3,13.005012833
23,0.00258369923165,88423,88423,0.79729315444,-0.00640326256678,0.0483362901927,1.13786977759e-10,7.89140245073e-12,2090,1,0,13166.4416251,11.6394171715,16180,0,0,0.137065166482,0.978106983898,0,0.1,0,0,25139.0836446,1,1,0,0,0,30,9,0,21,19,0,0,0,3,13.3138641249
24,0.00255391334413,88423,88423,0.79729315444,-0.00656371106775,0.0483362901927,1.09145365072e-10,7.33587043306e-12,2110,1,0,13300.6037078,11.5360422134,16036,0,0,0.14038975925,0.979757346284,0,0.1,0,0,24782.7048904,1,1,0,0,0,31,8,0,23,19,0,0,0,1,13.4488398749
25,0.00253110195349,88424,88424,0.797302171247,0.00265355828677,0.0483362901927,1.09422346919e-10,6.74828086685e-12,2159,1,0,13992.3126249,11.6053328514,16072,0,0,0.140481115639,0.971366410715,0,0.1,0,0,24438.8611993,1,1,0,0,0,29,7,0,22,19,0,0,0,-2,24.7014587503
26,0.00251230459375,88424,88424,0.797302171247,0.00397835209567,0.0483362901927,1.03309797206e-10,6.20811837152e-12,2220,1,0,14195.332375,11.5539999008,15354,0,0,0.141557417368,0.968939832783,0,0.1,0,0,23754.5630972,1,1,0,0,0,40,9,6,37,20,0,0,1,10,14.3434736254
27,0.00249656373728,88423,88423,0.79729315444,0.00764670800159,0.0483362901927,9.28089272924e-11,5.69297346534e-12,2256,1,0,15668.6794577,12.7645001411,15249,0,0,0.142746492964,0.970433109841,0,0.1,0,0,23389.1866036,1,1,0,0,0,46,11,6,41,21,0,0,1,5,15.92049225
28,0.00248042648204,88423,88423,0.79729315444,0.0031303021119,0.0483362901927,7.8087313477e-11,5.11413755414e-12,2282,1,0,14809.4084578,11.5657501221,15083,0,0,0.144348502237,0.971879447639,0,0.1,0,0,22972.4069685,1,1,0,0,0,41,18,2,25,22,0,0,2,-7,14.9576335829
29,0.00246471779241,88423,88423,0.79729315444,-0.000907249974735,0.0483362901927,6.60180811331e-11,4.50393597208e-12,2291,1,0,14833.0108337,12.7381253242,14958,0,0,0.146645790479,0.973319937389,0,0.1,0,0,22516.6228347,1,1,0,0,0,50,21,6,35,22,0,0,0,9,14.9831415829
30,0.00245273306888,88424,88424,0.797302171247,0.00371498369789,0.0483362901927,6.10859551669e-11,3.99704067514e-12,2301,1,0,15025.2774172,13.907916069,14764,0,0,0.137123401112,0.970695021933,0,0.1,0,0,22077.6821604,1,1,0,0,0,70,20,14,64,22,0,0,0,20,26.5685833339
31,0.00243532823688,88424,88424,0.797302171247,0.00936346601443,0.0483362901927,7.9772135543e-11,3.09747272115e-12,2358,1,0,15451.0597081,11.9779996872,13495,0,0,0.138013840531,0.97200823231,0,0.1,0,0,20688.218634,1,1,0,0,0,48,33,7,22,23,0,0,2,-24,15.6066843751
