iteration,compliance,occupancy_volume,printed_voxels,achieved_vf,offset_mm,dt_mm_per_unit_v,max_abs_v,lambda,cg_iterations,converged,used_multigrid,solve_ms,sensitivity_ms,band_cells,hilb_iterations,hilb_relres,reinit_rms,reinit_max,hj_steps,gamma,kappa_rms,perim_weight,interface_area_mm2,robust_worst,robust_ratio,nuc_frozen,diffusion_energy,diffusion_ratio,void_components,euler_chi,cavities,tunnels,mono_violations,mono_reverts,mono_repaired_voxels,new_components,split_delta,renuc_events,renuc_voxels,iteration_wall_s
1,0.00385386434319,88423,88423,0.79729315444,0.970343044636,0.0483362901927,2.68767620231e-10,2.20314860034e-11,1164,1,0,136424.927,13.6970410347,15274,0,0,0.0477821075942,0.217414729726,0,0.1,0,0,22546.1446756,1,1,0,0,0,49,49,0,0,0,0,0,0,0,0,0,136.707143792
2,0.00376920897343,88424,88424,0.797302171247,-0.015043530879,0.0483362901927,2.82741989918e-10,2.08691558863e-11,2478,1,0,50093.789125,15.5915827751,14727,0,0,0.0499210785761,0.238903394439,0,0.1,0,0,22346.7248042,1,1,0,0,0,48,48,0,0,0,0,0,0,-1,0,0,50.3743548747
3,0.00372076149845,88423,88423,0.79729315444,0.00873255236191,0.0483362901927,3.03674070579e-10,1.99905237696e-11,2107,1,0,41077.674417,13.9608330727,15007,0,0,0.0513260397039,0.261083342533,0,0.1,0,0,22437.2141579,1,1,0,0,0,48,48,0,0,0,0,0,0,0,0,0,41.3965196661
4,0.00364612438395,88424,88424,0.797302171247,-0.0141571049733,0.0483362901927,2.815302031e-10,1.90393972254e-11,2189,1,0,26372.519875,13.1099157333,14811,0,0,0.0575167733572,0.283860766924,0,0.1,0,0,22233.2594629,1,1,0,0,0,48,48,0,0,0,0,0,0,0,0,0,26.5500352909
5,0.00360522324245,88423,88423,0.79729315444,0.0110068151797,0.0483362901927,2.48992741295e-10,1.84213758021e-11,2175,1,0,27195.5144582,13.6538329124,14887,0,0,0.10502767352,0.35251924908,0,0.1,0,0,22338.4074733,1,1,0,0,0,48,48,0,0,0,0,0,0,0,0,0,44.5061627077
6,0.00353881580454,88424,88424,0.797302171247,-0.00717997020437,0.0483362901927,2.11221479451e-10,1.75594388054e-11,2159,1,0,30341.0992913,13.9517087936,14369,0,0,0.103956126452,0.359979357677,0,0.1,0,0,21718.6727573,1,1,0,0,0,48,48,0,0,0,0,0,0,0,0,0,30.6187884999
7,0.00349255489051,88423,88423,0.79729315444,0.000573888256301,0.0483362901927,2.32528100494e-10,1.68770358006e-11,2149,1,0,28801.2060413,14.2734589577,14144,0,0,0.104305743791,0.370447967333,0,0.1,0,0,21802.8361891,1,1,0,0,0,49,48,0,1,0,0,0,0,1,0,0,29.1832418749
8,0.00347198393561,88424,88424,0.797302171247,0.0248560730442,0.0483362901927,2.40931071201e-10,1.63135781349e-11,2150,1,0,31826.7892089,13.915708065,14420,0,0,0.105583066571,0.376721063306,0,0.1,0,0,22206.4970224,1,1,0,0,0,49,48,0,1,0,0,0,0,0,0,0,32.0993045829
9,0.00341553824694,88424,88424,0.797302171247,-0.0119757090563,0.0483362901927,2.62857768825e-10,1.56172715962e-11,2147,1,0,26459.717041,14.6002092361,14133,0,0,0.106263529011,0.385870289892,0,0.1,0,0,22152.1446905,1,1,0,0,0,50,48,0,2,1,0,0,1,0,0,0,26.7807285837
10,0.00337003206864,88423,88423,0.79729315444,-0.00275590635666,0.0483362901927,2.62405309708e-10,1.49252131107e-11,2147,1,0,26049.8539171,14.4652919769,14213,0,0,0.114325246085,0.389583576726,0,0.1,0,0,22201.2486856,1,1,0,0,0,50,48,0,2,1,0,0,0,0,0,0,43.5091391662
