iteration,compliance,occupancy_volume,printed_voxels,achieved_vf,offset_mm,dt_mm_per_unit_v,max_abs_v,lambda,cg_iterations,converged,used_multigrid,solve_ms,sensitivity_ms,band_cells,hilb_iterations,hilb_relres,reinit_rms,reinit_max,hj_steps,gamma,kappa_rms,perim_weight,interface_area_mm2,robust_worst,robust_ratio,nuc_frozen,diffusion_energy,diffusion_ratio,void_components,euler_chi,cavities,tunnels,mono_violations,mono_reverts,mono_repaired_voxels,new_components,split_delta,renuc_events,renuc_voxels,iteration_wall_s
1,0.00334613016148,88423,88423,0.79729315444,0.33208378033,0.0483362901927,2.62632413938e-10,1.60241258758e-11,1085,1,0,116798.905292,14.4591670036,61467,0,0,0.378125069456,0.999936538532,0,0.1,0,0,73803.6123535,1,1,0,0,0,882,356,46,572,0,0,0,0,0,0,0,117.065158333
2,0.0030746246287,88424,88424,0.797302171247,-0.0425769132475,0.0483362901927,2.38482174712e-10,1.28743032684e-11,1794,1,0,32970.6037922,14.3700828552,56679,0,0,0.360079587188,0.999759222624,0,0.1,0,0,69989.9935318,1,1,0,0,0,886,-299,57,1242,1,0,0,7,-3,0,0,33.2674746672
3,0.0029378673533,88423,88423,0.79729315444,-0.0143051266928,0.0483362901927,2.12121652667e-10,1.11717435712e-11,1793,1,0,34245.4814997,14.6285829544,50687,0,0,0.362041357592,0.999867301625,0,0.1,0,0,68050.5616405,1,1,0,0,0,864,-793,66,1723,2,0,0,3,-25,0,0,34.5182183748
4,0.00294811045874,88423,88423,0.79729315444,0.0458742134864,0.0483362901927,2.12277653029e-10,1.10748654179e-11,1829,1,0,23151.7611656,16.2204589844,50612,0,0,0.372179313106,0.999771792421,0,0.1,0,0,69881.9858849,1,1,0,0,0,862,-888,65,1815,3,0,0,1,-3,0,0,23.5018053339
5,0.00286634960161,88424,88424,0.797302171247,0.000647061297065,0.0483362901927,2.18323135134e-10,1.02115203005e-11,1835,1,0,24168.8782501,13.9114170074,50169,0,0,0.362233838611,0.999606435765,0,0.1,0,0,67423.3208497,1,1,0,0,0,575,-461,72,1108,3,0,0,0,-287,0,0,41.740239792
6,0.0027505878253,88424,88424,0.797302171247,-0.0163551519771,0.0483362901927,2.08853658531e-10,9.08521920184e-12,1825,1,0,21352.6737919,13.3790826797,43404,0,0,0.361884832763,0.999743079996,0,0.1,0,0,61717.2167995,1,1,0,0,0,476,-159,72,707,3,0,0,0,-99,0,0,21.6000290001
7,0.00263648492949,88424,88424,0.797302171247,-0.0442383441636,0.0483362901927,1.56142591721e-10,7.49779630777e-12,1811,1,0,23161.7160001,13.5386252403,41133,0,0,0.363561624777,0.999606435765,0,0.1,0,0,57044.7800699,1,1,0,0,0,504,-191,72,767,3,0,0,0,28,0,0,23.4260003753
8,0.002597227781,88424,88424,0.797302171247,0.00549587511122,0.0483362901927,1.35597851979e-10,6.81026338136e-12,1847,1,0,23200.7817078,13.3160424232,36782,0,0,0.368272429251,0.999606435765,0,0.1,0,0,55325.4442002,1,1,0,0,0,494,-32,79,605,4,0,0,6,-16,0,0,23.5033739167
9,0.00253321652634,88423,88423,0.79729315444,-0.0250750576853,0.0483362901927,1.25523000369e-10,5.49223368042e-12,1847,1,0,27913.6535001,13.8699169159,35692,0,0,0.314012767569,0.999606435765,0,0.1,0,0,51699.98399,1,1,0,0,0,492,-100,79,671,5,0,0,2,-4,0,0,28.2037926251
10,0.00250642632523,88423,88423,0.79729315444,0.00712441890578,0.0483362901927,1.30426575573e-10,5.1198463372e-12,1856,1,0,23004.591958,13.5457921028,31250,0,0,0.311041453314,0.999942691116,0,0.1,0,0,44508.537659,1,1,0,0,0,501,92,80,489,5,0,0,0,9,1,964,41.0526547083
