iteration,compliance,occupancy_volume,printed_voxels,achieved_vf,offset_mm,dt_mm_per_unit_v,max_abs_v,lambda,cg_iterations,converged,used_multigrid,solve_ms,sensitivity_ms,band_cells,hilb_iterations,hilb_relres,reinit_rms,reinit_max,hj_steps,gamma,kappa_rms,perim_weight,interface_area_mm2,robust_worst,robust_ratio,nuc_frozen,diffusion_energy,diffusion_ratio,void_components,euler_chi,cavities,tunnels,mono_violations,mono_reverts,mono_repaired_voxels,new_components,split_delta,renuc_events,renuc_voxels,iteration_wall_s
1,0.00386637579549,88423,88423,0.79729315444,0.88020986573,0.0483362901927,2.96447692693e-10,2.45748345602e-11,1107,1,0,145650.984167,16.4023747444,20533,0,0,0.085895841647,0.248667817939,0,0.1,0,0,32340.731997,1,1,0,0,0,84,76,0,8,0,0,0,0,0,0,0,145.915955875
2,0.0037177249673,88424,88424,0.797302171247,-0.0253638784415,0.0483362901927,2.92778370653e-10,2.25741377356e-11,1941,1,0,36648.285584,19.8211250305,20056,0,0,0.085635817354,0.301687063355,0,0.1,0,0,31794.14391,1,1,0,0,0,83,75,0,8,1,0,0,1,-2,0,0,36.9836117909
3,0.00366208617167,88424,88424,0.797302171247,0.016612436831,0.0483362901927,3.67923812622e-10,2.14440043538e-11,1954,1,0,34495.6234159,14.0891251564,20815,0,0,0.0869761004129,0.360391268993,0,0.1,0,0,32065.6850842,1,1,0,0,0,82,75,0,7,1,0,0,0,-1,0,0,34.790948458
4,0.00361311075652,88424,88424,0.797302171247,0.0189150453549,0.0483362901927,4.21264245757e-10,2.04389553631e-11,1999,1,0,22564.3227086,13.499625206,21185,0,0,0.0894630962571,0.419811191275,0,0.1,0,0,32314.7410995,1,1,0,0,0,82,75,0,7,2,0,0,1,-1,0,0,22.8433637917
5,0.00351590496727,88423,88423,0.79729315444,-0.00973038748245,0.0483362901927,4.20511352722e-10,1.89651619747e-11,1999,1,0,22264.7020416,13.501832962,20971,0,0,0.134019879684,0.418393602491,0,0.1,0,0,32009.554957,1,1,0,0,0,83,76,0,7,3,0,0,1,0,0,0,39.7024278329
6,0.00344017538502,88424,88424,0.797302171247,0.00020647443072,0.0483362901927,3.6288281413e-10,1.81284254707e-11,2038,1,0,26168.6283331,16.1234998703,19507,0,0,0.13365610733,0.418392135251,0,0.1,0,0,30999.4588064,1,1,0,0,0,81,75,0,6,4,0,0,1,-3,0,0,26.4645907502
7,0.00334704612017,88423,88423,0.79729315444,-0.0167971678331,0.0483362901927,2.83743606953e-10,1.68809254409e-11,2029,1,0,23731.0724587,13.0553331375,19378,0,0,0.132995143129,0.418511515504,0,0.1,0,0,30634.3394524,1,1,0,0,0,78,75,1,4,5,0,0,1,-4,0,0,23.9843220422
8,0.00328485321878,88423,88423,0.79729315444,0.000998265584992,0.0483362901927,2.27496028631e-10,1.58734136189e-11,2022,1,0,21603.5742083,12.9338750839,19474,0,0,0.135349585814,0.958444684978,0,0.1,0,0,30590.4859096,1,1,0,0,0,78,75,1,4,5,0,0,0,0,0,0,21.8090915419
9,0.00323676717816,88423,88423,0.79729315444,0.00926282100236,0.0483362901927,1.8483350487e-10,1.50404211091e-11,2020,1,0,25280.2247081,16.6117076874,19454,0,0,0.138707561403,0.968500273337,0,0.1,0,0,30712.9811328,1,1,0,0,0,79,75,1,5,6,0,0,2,-1,0,0,25.5493183332
10,0.00318643385061,88423,88423,0.79729315444,0.00584738601553,0.0483362901927,1.40852096665e-10,1.44462427013e-11,2019,1,0,20697.2759171,12.9414582253,19548,0,0,0.14412913595,0.979885358718,0,0.1,0,0,30738.4258892,1,1,0,0,0,78,75,1,4,6,0,0,0,-1,1,964,37.973036292
