iteration,compliance,occupancy_volume,printed_voxels,achieved_vf,offset_mm,dt_mm_per_unit_v,max_abs_v,lambda,cg_iterations,converged,used_multigrid,solve_ms,sensitivity_ms,band_cells,hilb_iterations,hilb_relres,reinit_rms,reinit_max,hj_steps,gamma,kappa_rms,perim_weight,interface_area_mm2,robust_worst,robust_ratio,nuc_frozen,diffusion_energy,diffusion_ratio,void_components,euler_chi,cavities,tunnels,mono_violations,mono_reverts,mono_repaired_voxels,new_components,split_delta,renuc_events,renuc_voxels,iteration_wall_s
1,0.00334656245069,88423,88423,0.79729315444,2.43052121181,0.0483362901927,4.7571243355e-13,1.18250796028e-11,1073,1,0,107992.775917,14.4739170074,70688,0,0,0.993271117286,0.999999997637,0,0.1,0,0,429.393828046,1,1,0,0,0,50,-73,22,145,0,0,0,0,0,0,0,108.322661291
2,0.00279732906034,88423,88423,0.79729315444,-0.0467210729575,0.0483362901927,3.03935992297e-13,3.18298543404e-12,1689,1,0,37602.408042,14.3904161453,70688,0,0,0.987712091674,0.999999997637,0,0.1,0,0,1687.93117292,1,1,0,0,0,5,-109,0,114,1,0,0,1,-46,0,0,37.85327625
3,0.00251857719059,88424,88424,0.797302171247,-0.0466408817074,0.0483362901927,1.81682036016e-13,1.79646074026e-12,1661,1,0,36594.565917,15.8322916031,70688,0,0,0.982256729835,0.999999997637,0,0.1,0,0,2977.65881319,1,1,0,0,0,9,8,0,1,2,0,0,1,3,0,0,36.9167976254
4,0.00242754344975,88423,88423,0.79729315444,-0.0161262603333,0.0483362901927,1.53564522747e-13,1.42539276942e-12,1687,1,0,23392.8197498,14.884665966,70688,0,0,0.976939537556,0.999999997637,0,0.1,0,0,4311.20800927,1,1,0,0,0,4,4,0,0,3,0,0,1,-6,0,0,23.7501500421
5,0.00240351874713,88424,88424,0.797302171247,0.0107629858743,0.0483362901927,1.96594263143e-13,1.38264907384e-12,1707,1,0,23611.6505418,13.6740002632,70688,0,0,0.101540985854,0.924733997558,0,0.1,0,0,5503.69722315,1,1,0,0,0,10,8,2,4,4,0,0,6,0,0,0,35.0197157501
6,0.00241889345969,88423,88423,0.79729315444,0.00287115863328,0.0483362901927,3.49343874773e-11,3.69791858674e-12,2420,1,0,17462.441834,11.5588750839,5779,0,0,0.100260285282,0.903966041349,0,0.1,0,0,8803.36711365,1,1,0,0,0,12,6,0,6,5,0,0,6,-4,0,0,17.5948982909
7,0.00241570599014,88423,88423,0.79729315444,-0.000349014604756,0.0483362901927,4.55288998923e-11,3.50506578635e-12,2420,1,0,17515.0219579,11.7419171333,5811,0,0,0.101165218731,0.891975909519,0,0.1,0,0,8805.09621668,1,1,0,0,0,9,5,0,4,6,0,0,1,-4,0,0,17.6637242092
8,0.00241286816555,88423,88423,0.79729315444,0.000712695271033,0.0483362901927,4.77000629311e-11,3.32956812328e-12,2426,1,0,17470.2627077,11.4949173927,5800,0,0,0.105954193381,0.903745365528,0,0.1,0,0,8822.30276686,1,1,0,0,0,8,5,0,3,6,0,0,0,-1,0,0,17.6079528751
9,0.00241039449037,88424,88424,0.797302171247,0.00216924035898,0.0483362901927,4.32791867655e-11,3.16857112137e-12,2430,1,0,17692.8252501,12.3801250458,5839,0,0,0.111311937387,0.916234590297,0,0.1,0,0,8855.24425948,1,1,0,0,0,6,6,0,0,7,0,0,1,-3,0,0,17.835927167
10,0.00240762705189,88424,88424,0.797302171247,-0.00441647576097,0.0483362901927,3.37211539069e-11,2.98416581754e-12,2435,1,0,17620.6192908,11.6281251907,5906,0,0,0.0976570809513,0.93403772269,0,0.1,0,0,8886.71282706,1,1,0,0,0,6,6,0,0,7,0,0,0,0,0,0,28.7557841251
11,0.00240586009308,88424,88424,0.797302171247,0.00456850019007,0.0483362901927,3.23217326188e-11,2.85252627817e-12,2437,1,0,17461.196084,11.6115832329,5791,0,0,0.0978761861772,0.940017571532,0,0.1,0,0,8866.36690788,1,1,0,0,0,8,8,0,0,7,0,0,0,2,0,0,17.595983916
12,0.00240397699019,88424,88424,0.797302171247,-0.00074818740111,0.0483362901927,3.3554392626e-11,2.708314945e-12,2435,1,0,17463.8634171,12.4282917976,5821,0,0,0.100446605729,0.934067660004,0,0.1,0,0,8907.18173704,1,1,0,0,0,8,7,0,1,7,0,0,0,0,0,0,17.6047962504
13,0.00240246950182,88423,88423,0.79729315444,0.00218457717039,0.0483362901927,3.05117262112e-11,2.61413657682e-12,2440,1,0,17217.4396672,11.9788327217,5910,0,0,0.105536578059,0.945498252335,0,0.1,0,0,8982.32504652,1,1,0,0,0,8,8,0,0,8,0,0,1,-1,0,0,17.3563347501
14,0.0024006506506,88424,88424,0.797302171247,-0.00429270808994,0.0483362901927,2.67653963559e-11,2.49501309428e-12,2437,1,0,17564.3283749,11.9932498932,6024,0,0,0.112222508484,0.942627627605,0,0.1,0,0,9053.02546333,1,1,0,0,0,9,7,0,2,9,0,0,1,0,0,0,17.7250181669
