arm,rung,requested_vf,achieved_vf,iterations,wall_s,compliance,margin_worst_case,margin_effective,max_von_mises_mpa,accepted,verts,tris,n_cad,n_cut,n_ambiguous,n_oblique,obl_all_rms_mm,obl_all_max_mm,obl_all_p99_mm,obl_cad_rms_mm,obl_cut_rms_mm,dihedral_all_deg,dihedral_cut_deg,dihedral_cad_deg,dihedral_refcut_deg,dihedral_refcad_deg,n_refcut,n_refcad,volume_mm3,min_section_mm2,min_feature_violations,field_lattice,field_spacing_mm,boundary_samples,binary_boundary,fractional_samples,crossings,crossing_rms_frac,crossing_rms_mm,midpoint_share
SIMP,0.68,0.680000,0.679951,27,0.000000,0.000000,3254.356637,673.856173,0.016900,1,142354,284704,112583,26191,3580,28365,1.060542,10.333206,4.784076,0.429291,3.745211,8.407493,7.552074,7.584248,10.189099,8.590452,40928,121418,440550.901897,3.410559,5464,design,1.705279,54081,47965,28374,29803,0.076042,0.129674,0.852800
SIMP,0.52,0.520000,0.520005,127,0.000000,0.000000,3389.417071,701.822163,0.016227,1,145550,291100,102843,38975,3732,27041,1.668416,10.386693,6.160131,0.450660,4.169128,9.235320,9.633753,7.902345,10.088480,9.170355,37474,116749,403281.985389,3.410559,5047,design,1.705279,60567,60563,45194,33848,0.001329,0.002266,0.999586
SIMP,0.38,0.380000,0.380000,140,0.000000,0.000000,3290.912400,681.425511,0.016713,1,165096,330212,94724,66549,3823,26963,2.920980,14.315680,10.808754,0.439357,5.795062,9.810777,10.458037,8.055534,9.937820,9.516837,36429,109262,330882.206697,3.410559,5134,design,1.705279,63131,63130,55060,35386,0.003265,0.005568,0.999915
SIMP,0.26,0.260000,0.259996,153,0.000000,0.000000,3014.120054,624.112115,0.018247,1,167778,335588,89254,74646,3878,26388,3.487837,15.599243,12.902407,0.437524,6.419456,9.941336,10.265723,8.303072,9.865943,9.831157,35896,104643,288713.430385,3.410559,5523,design,1.705279,64679,64678,63381,36453,0.001746,0.002978,0.999890
V0_none,0.80,0.797300,0.797302,60,0.000000,0.002384,0.000000,0.000000,0.000000,-1,151554,303152,116282,31520,3752,29703,1.192281,10.356896,5.030243,0.461131,3.846228,9.386101,10.648599,8.061339,11.146862,8.774006,42451,123674,446221.631796,3.410559,6150,external,1.705279,58656,51991,13118,35684,0.145183,0.247577,0.697287
V1_perim1,0.80,0.797300,0.797293,60,0.000000,0.002392,0.000000,0.000000,0.000000,-1,144834,289668,113176,28045,3613,28657,1.049027,10.334741,4.808079,0.438486,3.699239,8.764495,8.747990,7.791958,10.481721,8.621469,42290,121628,439285.161634,3.410559,5428,external,1.705279,53556,50465,6064,29811,0.106054,0.180852,0.843313
V2_gyr20,0.80,0.797300,0.797293,60,0.000000,0.002387,0.000000,0.000000,0.000000,-1,150768,301544,113891,33200,3677,29542,1.092824,10.365664,4.733960,0.459727,3.559949,9.083149,9.636378,7.898452,10.885160,8.780525,43024,123534,442255.291375,3.410559,5716,external,1.705279,55598,50418,9850,32520,0.127581,0.217561,0.754305
V3_stress,0.80,0.797300,0.797293,60,0.000000,0.002388,0.000000,0.000000,0.000000,-1,153380,306804,114639,35018,3723,29646,1.434752,11.556379,5.746154,0.465188,4.323133,9.250170,9.821815,8.082005,10.945166,8.808546,42275,124107,435615.847408,3.410559,5942,external,1.705279,54614,50157,8800,31343,0.116801,0.199178,0.782950
W1_p16,0.80,0.797300,0.797293,60,0.000000,0.002384,0.000000,0.000000,0.000000,-1,151742,303512,115924,32097,3721,29592,1.138320,10.433253,4.815586,0.456121,3.750018,9.141077,9.802884,7.986302,10.833117,8.754333,42521,123925,444979.580739,3.410559,5809,external,1.705279,56673,51137,10876,33502,0.129008,0.219995,0.740224
W2_p24,0.80,0.797300,0.797302,60,0.000000,0.002386,0.000000,0.000000,0.000000,-1,150516,301044,116341,30501,3674,29060,1.011712,10.334727,4.599748,0.456018,3.538549,9.032168,8.925280,8.138368,10.589431,8.633861,41782,123219,445333.837804,3.410559,5843,external,1.705279,56532,51105,10487,33172,0.124430,0.212188,0.752050
W3_p32,0.80,0.797300,0.797302,60,0.000000,0.002396,0.000000,0.000000,0.000000,-1,151120,302240,114567,32961,3592,28950,1.060951,10.332835,4.724257,0.455436,3.654816,8.967850,9.665821,7.805247,10.449480,8.676666,41787,123873,441571.253799,3.410559,5684,external,1.705279,55457,50351,9729,32268,0.125050,0.213245,0.757097
W4_renuc,0.80,0.797300,0.797302,60,0.000000,0.002383,0.000000,0.000000,0.000000,-1,174386,348940,118422,52278,3686,29984,1.247336,11.435983,5.319929,0.439722,4.334878,10.799075,14.225426,8.100868,11.640638,8.747298,43091,123647,436305.577748,3.410559,6769,external,1.705279,59033,51636,12832,36321,0.141174,0.240741,0.689353
W5_p24renuc,0.80,0.797300,0.797302,60,0.000000,0.002385,0.000000,0.000000,0.000000,-1,150234,300480,115865,30698,3671,28958,1.004040,10.334300,4.598255,0.447127,3.589455,8.903261,9.017692,7.923824,10.643282,8.640737,41693,123099,445288.115235,3.410559,5481,external,1.705279,56485,50812,10819,33059,0.125356,0.213767,0.753864
W6_rods12,0.80,0.797300,0.797293,60,0.000000,0.002387,0.000000,0.000000,0.000000,-1,152656,305320,113137,35842,3677,29580,1.410557,11.466523,6.122258,0.457817,4.449465,8.897911,9.540809,7.694921,10.388195,8.569158,42480,123122,437972.906810,3.410559,5797,external,1.705279,55101,50327,8953,31696,0.123226,0.210135,0.771044
