part 110904 voxels, voxel 4.9589 mm3
arm              void  sealed  sealed mm3   % void    n
V0_none         22480    3253     16131.3   14.47%   51
V1_perim1       22481    1608      7973.9    7.15%   21
V2_gyr20        22481    2335     11579.1   10.39%   32
V3_stress       22481    1330      6595.4    5.92%   11
W1_p16          22481    3025     15000.7   13.46%   16
W2_p24          22480    3155     15645.4   14.03%   17
W3_p32          22480    2181     10815.4    9.70%   30
W4_renuc        22480     971      4815.1    4.32%   20
W5_p24renuc     22480    3047     15109.8   13.55%   14
W6_rods12       22481    1506      7468.1    6.70%   13
