iteration,compliance,occupancy_volume,printed_voxels,achieved_vf,offset_mm,dt_mm_per_unit_v,max_abs_v,lambda,cg_iterations,converged,used_multigrid,solve_ms,sensitivity_ms,band_cells,hilb_iterations,hilb_relres,reinit_rms,reinit_max,hj_steps,gamma,kappa_rms,perim_weight,interface_area_mm2,robust_worst,robust_ratio,nuc_frozen,diffusion_energy,diffusion_ratio,void_components,euler_chi,cavities,tunnels,mono_violations,mono_reverts,mono_repaired_voxels,new_components,split_delta,iteration_wall_s
1,0.00452507119956,75415,75415,0.680002524706,0.514799724591,0.0483362901927,2.72151509651e-10,3.21882058996e-11,1172,1,0,91146.2246671,14.1889576912,57176,0,0,0.412398490959,0.999816403934,0,0.1,0,0,78635.5391012,1,1,0,0,0,87,-1989,0,2076,0,0,0,0,0,91.4221891249
2,0.00391480901374,75415,75415,0.680002524706,-0.0296868914711,0.0483362901927,2.35551575139e-10,2.3435186699e-11,2240,1,0,21153.2477503,12.0932497978,56879,0,0,0.400424403174,0.999655141543,0,0.1,0,0,79477.2153511,1,1,0,0,0,511,-2778,42,3331,1,0,3,3,422,21.4470073329
3,0.00344235886896,75415,75415,0.680002524706,-0.04670848959,0.0483362901927,2.5805826188e-10,1.6739125742e-11,2202,1,0,20745.8192081,13.0297498703,59087,0,0,0.395052735694,0.999867301625,0,0.1,0,0,77407.4230413,1,1,0,0,0,522,-2382,42,2946,1,0,3,0,11,20.9886718327
4,0.00341339504368,75414,75414,0.679993507899,0.0305729653909,0.0483362901927,2.52631826882e-10,1.69159365259e-11,2202,1,0,13840.106792,12.212957859,57679,0,0,0.396464090238,1.12038901725,0,0.1,0,0,74482.49193,1,1,0,0,0,492,13,49,528,2,0,15,12,-29,14.125853125
5,0.00324392195215,75414,75414,0.679993507899,-0.0129022298674,0.0483362901927,2.42198768157e-10,1.52425742225e-11,2236,1,0,14250.94875,12.3417081833,54355,0,0,0.357843069039,0.999777054809,0,0.1,0,0,71026.7325842,1,1,0,0,0,482,35,49,496,2,0,15,0,-10,26.5497396253
6,0.00307500469992,75415,75415,0.680002524706,-0.0315838805933,0.0483362901927,2.05364845219e-10,1.50313194434e-11,2302,1,0,14775.90275,12.5970420837,43924,0,0,0.353456821028,0.999777054809,0,0.1,0,0,62046.5047511,1,1,0,0,0,439,252,57,244,3,0,16,1,-42,15.153966459
7,0.00302281189208,75415,75415,0.680002524706,0.0116617648373,0.0483362901927,2.15292100297e-10,1.45016999542e-11,2505,1,0,15660.7742081,12.3597922325,41018,0,0,0.353612310309,0.999777054809,0,0.1,0,0,59971.6111081,1,1,0,0,0,391,189,61,263,4,0,19,3,-52,15.9517174582
8,0.00293611938279,75415,75415,0.680002524706,-0.00757904249503,0.0483362901927,2.09405270388e-10,1.32294809488e-11,2571,1,0,16021.7668748,12.2499170303,41224,0,0,0.352972039097,0.999777054809,0,0.1,0,0,57608.9363856,1,1,0,0,0,371,147,61,285,5,0,21,2,-21,16.3175604171
9,0.0028352122553,75415,75415,0.680002524706,-0.0194400263182,0.0483362901927,1.72953616217e-10,1.15861260384e-11,2679,1,0,16636.4034996,11.6377501488,40290,0,0,0.351357279357,0.999777054809,0,0.1,0,0,54687.066437,1,1,0,0,0,364,92,61,333,5,0,21,0,-7,16.7975974157
10,0.00275458921181,75415,75415,0.680002524706,-0.0168330628499,0.0483362901927,1.31104814458e-10,1.02855306429e-11,2733,1,0,17292.3241248,12.7319998741,38343,0,0,0.347405670283,0.999907601469,0,0.1,0,0,51566.3730349,1,1,0,0,0,361,78,65,348,6,0,22,1,-3,29.9588311249
11,0.00275507404116,75414,75414,0.679993507899,0.0210482120993,0.0483362901927,1.23028740602e-10,1.12728964331e-11,2966,1,0,20562.3178329,12.5615420341,31623,0,0,0.359597657986,0.999907601469,0,0.1,0,0,45575.9600598,1,1,0,0,0,348,229,68,187,7,0,26,4,-13,20.8938801251
12,0.00272092773382,75414,75414,0.679993507899,0.0068417614021,0.0483362901927,1.20791087062e-10,1.05752284509e-11,3043,1,0,21196.447,12.3221254349,30213,0,0,0.361309718049,0.999907601469,0,0.1,0,0,43165.804048,1,1,0,0,0,336,207,67,196,8,0,30,4,-12,21.5642985832
13,0.00267249611963,75414,75414,0.679993507899,-0.00914756109933,0.0483362901927,1.10475611092e-10,9.37951651291e-12,3063,1,0,20804.7880831,12.0592498779,29425,0,0,0.361424765087,0.999907601469,0,0.1,0,0,40595.9371845,1,1,0,0,0,334,171,68,231,9,0,34,4,-1,21.1049470422
14,0.00263026682757,75414,75414,0.679993507899,-0.011768243332,0.0483362901927,9.00142565101e-11,8.31825709154e-12,3103,1,0,21004.1064582,12.7706670761,27225,0,0,0.353142092512,0.999907601469,0,0.1,0,0,37933.0706351,1,1,0,0,0,338,159,68,247,10,0,35,1,3,21.3033611667
15,0.00261076616066,75415,75415,0.680002524706,0.00382646574734,0.0483362901927,7.76032338232e-11,8.00249594172e-12,3156,1,0,21047.3076248,13.2679171562,25662,0,0,0.354163102741,0.999640258205,0,0.1,0,0,35061.1175747,1,1,0,0,0,320,122,84,282,11,0,36,1,-17,32.3874825002
16,0.00259493915762,75414,75414,0.679993507899,0.0079668620558,0.0483362901927,6.67410646515e-11,8.22193062625e-12,3382,1,0,19078.5653338,12.1491661072,21600,0,0,0.355076858508,0.999640258205,0,0.1,0,0,28161.1045121,1,1,0,0,0,269,121,107,255,12,0,38,2,-51,19.3673546249
17,0.00258089843671,75414,75414,0.679993507899,-0.00173145116315,0.0483362901927,5.1039626622e-11,7.54051460712e-12,3380,1,0,18599.7880831,12.8596253395,20931,0,0,0.356055783132,0.999640258205,0,0.1,0,0,27050.4632908,1,1,0,0,0,236,56,104,284,13,0,43,5,-33,18.9611125002
