iteration,compliance,occupancy_volume,printed_voxels,achieved_vf,offset_mm,dt_mm_per_unit_v,max_abs_v,lambda,cg_iterations,converged,used_multigrid,solve_ms,sensitivity_ms,band_cells,hilb_iterations,hilb_relres,reinit_rms,reinit_max,hj_steps,gamma,kappa_rms,perim_weight,interface_area_mm2,robust_worst,robust_ratio,nuc_frozen,diffusion_energy,diffusion_ratio,void_components,euler_chi,cavities,tunnels,mono_violations,mono_reverts,mono_repaired_voxels,new_components,split_delta,iteration_wall_s
1,0.00453405141205,75415,75415,0.680002524706,0.514805180331,0.0483362901927,2.90263906412e-10,3.23795785704e-11,1180,1,0,91322.511291,13.0397500992,57187,0,0,0.412413361504,0.999821395076,0,0.1,0,0,78661.9894144,1,1,0,0,0,95,-2002,0,2097,0,0,0,0,0,91.5356798749
2,0.00391953864535,75415,75415,0.680002524706,-0.0297589408247,0.0483362901927,2.24995018771e-10,2.35408409925e-11,2253,1,0,18185.427958,12.2777500153,56881,0,0,0.400426753401,0.999578754076,0,0.1,0,0,79488.1140376,1,1,0,0,0,522,-2798,39,3359,1,0,2,2,423,18.466904792
3,0.00344542214278,75415,75415,0.680002524706,-0.0466120720517,0.0483362901927,2.32783483244e-10,1.67954522606e-11,2171,1,0,18114.220417,12.3414158821,59133,0,0,0.395055695736,0.999893808032,0,0.1,0,0,77394.2963731,1,1,0,0,0,525,-2399,39,2963,1,0,2,0,3,18.2720432091
4,0.00341448169738,75414,75414,0.679993507899,0.0301336928933,0.0483362901927,2.25366587796e-10,1.69472974858e-11,2188,1,0,12582.3135409,12.19637537,57773,0,0,0.39645256688,1.06901495129,0,0.1,0,0,74395.7960592,1,1,0,0,0,489,49,48,488,2,0,23,20,-42,12.9643001673
5,0.00324307143655,75414,75414,0.679993507899,-0.0141818736611,0.0483362901927,2.13690897701e-10,1.52615632813e-11,2206,1,0,12287.1366248,11.9048342705,54397,0,0,0.358019027231,0.999805805028,0,0.1,0,0,70888.0166401,1,1,0,0,0,486,7,50,529,3,0,24,1,-2,22.9800920407
6,0.00307679360783,75414,75414,0.679993507899,-0.0308443390671,0.0483362901927,2.30920115709e-10,1.51302197594e-11,2376,1,0,13137.1113749,12.0180001259,43847,0,0,0.353693665375,0.999828653384,0,0.1,0,0,61920.8661027,1,1,0,0,0,438,269,55,224,4,0,25,1,-46,13.4366830001
7,0.00302438194018,75415,75415,0.680002524706,0.0121577184743,0.0483362901927,2.24119550408e-10,1.45784599199e-11,2578,1,0,14558.0934162,13.1652917862,41085,0,0,0.35365015679,0.999805805028,0,0.1,0,0,59879.8720166,1,1,0,0,0,401,197,61,265,5,0,28,3,-35,14.8636465413
8,0.0029389714424,75414,75414,0.679993507899,-0.0061940205133,0.0483362901927,2.04090934332e-10,1.33092048906e-11,2708,1,0,14966.0029998,12.5281658173,41309,0,0,0.353000817501,0.999805805028,0,0.1,0,0,57569.6258403,1,1,0,0,0,383,164,61,280,5,0,28,0,-18,15.1277738749
9,0.00283707232263,75415,75415,0.680002524706,-0.0198029797793,0.0483362901927,1.59614951114e-10,1.16400322216e-11,2749,1,0,15065.5508342,11.955165863,40232,0,0,0.351339224892,0.999805805028,0,0.1,0,0,54641.1812984,1,1,0,0,0,374,89,62,347,6,0,30,2,-9,15.359226
10,0.00275670561266,75415,75415,0.680002524706,-0.017221184304,0.0483362901927,1.35074361205e-10,1.03461132034e-11,2852,1,0,15756.9390421,12.007417202,38247,0,0,0.347408841728,0.999934943607,0,0.1,0,0,51477.6985646,1,1,0,0,0,371,93,66,344,7,0,31,1,-3,26.6021342501
11,0.0027546658319,75415,75415,0.680002524706,0.020280204639,0.0483362901927,1.3301293534e-10,1.13147922872e-11,3147,1,0,17492.3215423,12.0351247787,31566,0,0,0.359247370914,0.999934943607,0,0.1,0,0,45528.6714164,1,1,0,0,0,361,223,68,206,8,0,34,2,-9,17.8688935833
12,0.00272193107033,75415,75415,0.680002524706,0.00725801355266,0.0483362901927,1.09319347604e-10,1.066144355e-11,3191,1,0,17757.9839582,12.3969578743,30275,0,0,0.361133559102,0.999934943607,0,0.1,0,0,43178.8752328,1,1,0,0,0,337,167,68,238,9,0,37,2,-22,18.1861887919
13,0.00267286325151,75414,75414,0.679993507899,-0.0094745535031,0.0483362901927,7.96105171938e-11,9.41783366062e-12,3195,1,0,17470.3291669,12.4976658821,29684,0,0,0.361306113337,0.999934943607,0,0.1,0,0,40686.7841535,1,1,0,0,0,329,166,67,230,9,0,37,0,-8,17.6921025421
14,0.00263054681325,75414,75414,0.679993507899,-0.011955972518,0.0483362901927,6.51383372928e-11,8.36028633907e-12,3212,1,0,17619.6349592,12.3911247253,27414,0,0,0.352621515504,0.999934943607,0,0.1,0,0,37962.7346614,1,1,0,0,0,324,147,67,244,10,0,39,2,-4,17.903986291
15,0.00261040498143,75414,75414,0.679993507899,0.00283344814018,0.0483362901927,5.34565348364e-11,8.05473057789e-12,3249,1,0,18148.0957093,11.705540657,25726,0,0,0.354433731884,0.999846825087,0,0.1,0,0,35074.668173,1,1,0,0,0,315,127,81,269,11,0,42,3,-7,28.8937738752
16,0.00259492894721,75414,75414,0.679993507899,0.00706494225757,0.0483362901927,3.91206732947e-11,8.2756984847e-12,3473,1,0,19081.7377496,12.6727919579,21551,0,0,0.355338825132,0.999846825087,0,0.1,0,0,28048.5402266,1,1,0,0,0,264,121,106,249,12,0,47,5,-48,19.420820083
17,0.00258223253546,75415,75415,0.680002524706,0.000366739554016,0.0483362901927,3.19522666605e-11,7.64746570071e-12,3468,1,0,19114.7195411,14.3997921944,20958,0,0,0.356336155872,0.999846825087,0,0.1,0,0,27110.4281304,1,1,0,0,0,237,60,106,283,13,0,52,5,-26,19.4197102091
18,0.00257302169918,75415,75415,0.680002524706,-0.000581141405293,0.0483362901927,3.6662208512e-11,7.39382051082e-12,3447,1,0,18988.9934578,12.9512500763,19852,0,0,0.357062491058,0.999846825087,0,0.1,0,0,26063.2270038,1,1,0,0,0,195,20,100,275,14,0,54,2,-46,19.313451584
19,0.00256748398025,75414,75414,0.679993507899,0.00242062063453,0.0483362901927,2.03391107077e-11,7.19131016966e-12,3445,1,0,19036.088459,12.0387501717,19316,0,0,0.357723121148,0.999846825087,0,0.1,0,0,25249.4414138,1,1,0,0,0,124,-76,61,261,14,0,54,0,-71,19.2142800838
20,0.00256065118577,75415,75415,0.680002524706,-0.00182588045279,0.0483362901927,2.00614354639e-11,6.99875546879e-12,3449,1,0,19068.2721663,11.7093338966,18827,0,0,0.360549711469,0.999801365718,0,0.1,0,0,24411.7606043,1,1,0,0,0,91,-109,41,241,15,0,62,6,-36,30.2074455833
21,0.0025575718206,75415,75415,0.680002524706,0.000215705478878,0.0483362901927,2.65143391104e-11,7.05888931979e-12,2871,1,0,16202.3438339,11.7605409622,16645,0,0,0.360808492279,0.999801365718,0,0.1,0,0,22390.4036058,1,1,0,0,0,70,-81,27,178,15,0,62,0,-21,16.3497136254
22,0.0025548258856,75414,75414,0.679993507899,0.00236031691339,0.0483362901927,2.36318974821e-11,6.85033360581e-12,3025,1,0,16893.0923333,13.2689585686,16687,0,0,0.361034970701,0.999801365718,0,0.1,0,0,22591.6521573,1,1,0,0,0,68,-117,27,212,16,0,64,2,-2,17.206416708
23,0.0025515211667,75415,75415,0.680002524706,-0.000802653081974,0.0483362901927,1.95438293237e-11,6.70864322305e-12,3022,1,0,16860.7154169,11.6823329926,16604,0,0,0.361494471654,0.999801365718,0,0.1,0,0,22626.0827728,1,1,0,0,0,64,-125,26,215,17,0,69,5,-4,17.1284003337
24,0.00254944400373,75414,75414,0.679993507899,-0.000155992101952,0.0483362901927,2.30645195496e-11,6.67357419596e-12,3040,1,0,17188.4711246,11.6972913742,16491,0,0,0.361885804216,0.999801365718,0,0.1,0,0,22538.9315591,1,1,0,0,0,62,-130,25,217,18,0,71,2,-3,17.4560060417
25,0.00254712699785,75414,75414,0.679993507899,5.63199116846e-05,0.0483362901927,4.40480268308e-11,6.58949205626e-12,3001,1,0,16780.842958,12.9628748894,16425,0,0,0.368696347701,0.999510585365,0,0.1,0,0,22597.2943663,1,1,0,0,0,61,-134,24,219,19,0,72,1,0,27.6346397079
26,0.00254752733408,75414,75414,0.679993507899,-0.00039585725616,0.0483362901927,4.63451707776e-11,6.76423806665e-12,2863,1,0,15868.4672089,11.5719161034,15972,0,0,0.369015680973,0.999510585365,0,0.1,0,0,21770.261736,1,1,0,0,0,53,-94,24,171,20,0,76,4,-8,16.1311410004
27,0.00254482260898,75415,75415,0.680002524706,0.00100276657337,0.0483362901927,4.39560347221e-11,6.58262560509e-12,2849,1,0,16433.5832911,12.6159591675,16021,0,0,0.369320808198,0.999510585365,0,0.1,0,0,21923.0844578,1,1,0,0,0,54,-100,24,178,21,0,78,2,1,16.8164965832
