iteration,compliance,occupancy_volume,printed_voxels,achieved_vf,offset_mm,dt_mm_per_unit_v,max_abs_v,lambda,cg_iterations,converged,used_multigrid,solve_ms,sensitivity_ms,band_cells,hilb_iterations,hilb_relres,reinit_rms,reinit_max,hj_steps,gamma,kappa_rms,perim_weight,interface_area_mm2,robust_worst,robust_ratio,nuc_frozen,diffusion_energy,diffusion_ratio,void_components,euler_chi,cavities,tunnels,mono_violations,mono_reverts,mono_repaired_voxels,new_components,split_delta,iteration_wall_s
1,0.00443515471812,75414,75414,0.679993507899,0.691310987031,0.0483362901927,4.64815653663e-10,2.77614935745e-11,1210,1,0,90392.6343327,12.867000103,53984,0,0,0.3892421781,0.999995378199,0,0.1,0,0,69280.1278472,1,1,0,0,0,490,-1444,6,1940,0,0,0,0,0,90.6253793342
2,0.00412715969882,75415,75415,0.680002524706,-0.00852882601912,0.0483362901927,3.2819664984e-10,2.40890201871e-11,2350,1,0,19299.9900422,12.09375,52697,0,0,0.378736123103,0.999995378199,0,0.1,0,0,68674.7633199,1,1,0,0,0,414,-1120,6,1540,1,0,1,1,-77,19.589744708
3,0.00382443195152,75415,75415,0.680002524706,-0.0219568980835,0.0483362901927,3.4574162825e-10,2.09466538374e-11,2377,1,0,19121.0187922,12.7513747215,50538,0,0,0.367758900672,0.999995378199,0,0.1,0,0,67276.8831293,1,1,0,0,0,246,-414,6,666,2,0,9,8,-168,19.4807908749
4,0.0035950883817,75415,75415,0.680002524706,-0.0214767169391,0.0483362901927,3.21504768899e-10,1.85946839619e-11,2376,1,0,13262.2009172,11.8443751335,46335,0,0,0.362312408587,0.999995378199,0,0.1,0,0,65313.2802685,1,1,0,0,0,229,-688,6,923,3,0,11,2,-19,13.5432961248
5,0.0034631896101,75414,75414,0.679993507899,-0.00189799855479,0.0483362901927,3.01474629823e-10,1.71035764643e-11,2324,1,0,13003.4934592,11.6606659889,44781,0,0,0.315420286704,0.999974610193,0,0.1,0,0,62648.965442,1,1,0,0,0,210,-968,6,1184,4,0,12,1,-19,23.4695814592
6,0.00327261956947,75415,75415,0.680002524706,-0.0299660390401,0.0483362901927,3.01039092192e-10,1.49671782343e-11,2468,1,0,14094.9724584,11.9137077332,42294,0,0,0.295879019775,0.999974610193,0,0.1,0,0,57273.2418025,1,1,0,0,0,203,-245,6,454,5,0,14,2,-7,14.3883163752
7,0.0032292392609,75415,75415,0.680002524706,0.0177160171558,0.0483362901927,2.87471758444e-10,1.50665387053e-11,2518,1,0,14458.1097088,12.3180832863,38142,0,0,0.299195196461,0.999974610193,0,0.1,0,0,54866.8100069,1,1,0,0,0,201,17,6,190,6,0,16,2,-1,14.7560009998
8,0.00313236013289,75415,75415,0.680002524706,-0.00930997863096,0.0483362901927,2.48742802661e-10,1.44288975779e-11,2548,1,0,14273.7598329,11.810500145,36950,0,0,0.295447317282,0.999974610193,0,0.1,0,0,52723.1109125,1,1,0,0,0,198,13,6,191,6,0,16,0,-3,14.4349938752
9,0.00304631666264,75415,75415,0.680002524706,-0.00632853207304,0.0483362901927,1.94446380921e-10,1.392881018e-11,2547,1,0,14469.5916667,11.7134170532,34745,0,0,0.297215773722,0.999974610193,0,0.1,0,0,50376.2787997,1,1,0,0,0,187,48,7,146,7,0,17,1,-11,14.7618043344
10,0.00296530458588,75415,75415,0.680002524706,-0.00726543846663,0.0483362901927,1.97287238939e-10,1.32034196068e-11,2558,1,0,14596.4979582,12.0338339806,34026,0,0,0.301929834645,0.99993208163,0,0.1,0,0,47825.883445,1,1,0,0,0,151,208,8,-49,8,0,19,2,-32,25.0798022919
