iteration,compliance,occupancy_volume,printed_voxels,achieved_vf,offset_mm,dt_mm_per_unit_v,max_abs_v,lambda,cg_iterations,converged,used_multigrid,solve_ms,sensitivity_ms,band_cells,hilb_iterations,hilb_relres,reinit_rms,reinit_max,hj_steps,gamma,kappa_rms,perim_weight,interface_area_mm2,robust_worst,robust_ratio,nuc_frozen,diffusion_energy,diffusion_ratio,void_components,euler_chi,cavities,tunnels,mono_violations,mono_reverts,mono_repaired_voxels,new_components,split_delta,iteration_wall_s
1,0.00388512431051,75415,75415,0.680002524706,0.406914084038,0.0483362901927,1.71466935098e-10,2.27107957169e-11,1140,1,0,79187.3780417,12.6291251183,68043,0,0,0.437402766335,0.999999389027,0,0.1,0,0,82272.6234562,1,1,0,0,0,1268,-2843,296,4407,0,0,0,0,0,79.4114914997
2,0.00345665468043,75414,75414,0.679993507899,-0.0119340137979,0.0483362901927,1.33997106121e-10,1.75004425461e-11,2024,1,0,17279.9259582,12.3516249657,67398,0,0,0.437427325841,0.998517495034,0,0.1,0,0,81261.6456097,1,1,0,0,0,939,-1189,202,2330,1,0,5,5,-330,17.5733651249
3,0.00322978091213,75415,75415,0.680002524706,-0.000105798669735,0.0483362901927,1.86904579823e-10,1.53639977321e-11,2031,1,0,17109.3088326,12.0319581032,67108,0,0,0.438092297724,0.998516811679,0,0.1,0,0,77825.7494691,1,1,0,0,0,864,-1417,201,2482,1,0,5,0,-75,17.274045541
4,0.0030351494103,75414,75414,0.679993507899,-0.00412585589657,0.0483362901927,2.00138438484e-10,1.3524349509e-11,2048,1,0,11376.0195408,12.2319998741,64869,0,0,0.439574602329,0.998699359617,0,0.1,0,0,72609.5424932,1,1,0,0,0,825,-109,203,1137,2,0,7,2,-41,11.671641083
5,0.00287532340241,75415,75415,0.680002524706,-0.00865003109542,0.0483362901927,1.85589301157e-10,1.17159350617e-11,2055,1,0,11721.9981251,13.0257501602,62631,0,0,0.390601758913,0.997421890258,0,0.1,0,0,67069.6508002,1,1,0,0,0,796,222,197,771,3,0,9,2,-27,22.4696106669
6,0.00267030294887,75414,75414,0.679993507899,-0.0411532200601,0.0483362901927,1.18605574338e-10,1.24472241235e-11,2692,1,0,15058.7367082,12.2636671066,41504,0,0,0.390637311326,0.997563639142,0,0.1,0,0,36336.4820916,1,1,0,0,0,566,559,152,159,3,0,9,0,-230,15.2288970831
7,0.00263507600078,75414,75414,0.679993507899,0.0084462984583,0.0483362901927,1.02577053202e-10,1.08222050034e-11,2812,1,0,15336.461709,11.8811249733,39239,0,0,0.389270200789,0.996983772027,0,0.1,0,0,35244.547807,1,1,0,0,0,439,398,110,151,4,0,35,25,-125,15.7625616253
8,0.00261747207247,75415,75415,0.680002524706,0.0109251373126,0.0483362901927,8.74233928167e-11,1.00395451287e-11,2867,1,0,15826.1359172,12.2504997253,36093,0,0,0.388676602732,0.997175704825,0,0.1,0,0,34361.3611006,1,1,0,0,0,373,308,89,154,5,0,48,12,-66,16.2540720832
9,0.00259600863196,75414,75414,0.679993507899,-0.000884956644601,0.0483362901927,8.4863473042e-11,9.0007910555e-12,2840,1,0,15842.5384159,11.9564590454,32919,0,0,0.388339556636,0.994893687246,0,0.1,0,0,33388.6845752,1,1,0,0,0,336,231,72,177,6,0,62,14,-29,16.1481109173
10,0.00258251367018,75415,75415,0.680002524706,-1.15708240312e-05,0.0483362901927,9.78418639816e-11,8.55613783155e-12,2884,1,0,15953.2879996,11.9848332405,30337,0,0,0.378203537605,0.981444848204,0,0.1,0,0,31888.9227036,1,1,0,0,0,279,193,65,151,7,0,73,10,-58,26.7271546251
11,0.00257535144255,75414,75414,0.679993507899,-0.01486036488,0.0483362901927,4.15611224736e-11,8.4934069325e-12,2870,1,0,15880.8570828,11.8036670685,19786,0,0,0.378729682353,0.998376910494,0,0.1,0,0,22879.2072489,1,1,0,0,0,176,-8,31,215,7,0,73,0,-103,16.0324254171
12,0.00256586174147,75414,75414,0.679993507899,0.00254601220996,0.0483362901927,3.54086013025e-11,7.58270476964e-12,2892,1,0,16059.9983749,13.0946249962,19496,0,0,0.378719878436,0.99043518937,0,0.1,0,0,23010.1451201,1,1,0,0,0,143,-62,28,233,8,0,94,20,-36,16.515569333
13,0.00256116364581,75414,75414,0.679993507899,0.00244110699248,0.0483362901927,2.97786742025e-11,7.31567948089e-12,2888,1,0,16358.0957503,12.1357088089,19063,0,0,0.378793762126,0.981696486267,0,0.1,0,0,23013.631289,1,1,0,0,0,92,-76,24,192,9,0,102,8,-45,16.6439212919
14,0.00255573225494,75414,75414,0.679993507899,0.000312788445713,0.0483362901927,2.37511560567e-11,7.01141891359e-12,2879,1,0,15751.6145,11.6307082176,18645,0,0,0.378750183663,0.986577282478,0,0.1,0,0,22876.3079019,1,1,0,0,0,90,-77,25,192,10,0,110,6,-1,16.1368271671
