iteration,compliance,occupancy_volume,printed_voxels,achieved_vf,offset_mm,dt_mm_per_unit_v,max_abs_v,lambda,cg_iterations,converged,used_multigrid,solve_ms,sensitivity_ms,band_cells,hilb_iterations,hilb_relres,reinit_rms,reinit_max,hj_steps,gamma,kappa_rms,perim_weight,interface_area_mm2,robust_worst,robust_ratio,nuc_frozen,diffusion_energy,diffusion_ratio,void_components,euler_chi,cavities,tunnels,mono_violations,mono_reverts,mono_repaired_voxels,new_components,split_delta,iteration_wall_s
1,0.00480372045312,75414,75414,0.679993507899,0.00354104715207,0.0483362901927,8.73116090752e-10,3.88827430941e-11,1269,1,0,104023.454209,13.5602083206,32987,0,0,0.162137843879,0.636472615936,0,0.1,0,0,48912.6600941,1,1,0,0,0,15,-108,0,123,0,0,0,0,0,104.2498185
2,0.00461070389605,75414,75414,0.679993507899,0.00560858135577,0.0483362901927,7.04085767092e-10,3.63136491785e-11,2725,1,0,20737.702333,11.9535837173,31553,0,0,0.161958901091,0.740700356185,0,0.1,0,0,49173.3800386,1,1,0,0,0,16,-103,0,119,1,0,3,3,1,21.0126208332
3,0.00450433981902,75415,75415,0.680002524706,0.0216066070047,0.0483362901927,6.11801769823e-10,3.4563377916e-11,2676,1,0,20936.2828751,11.9211668968,29337,0,0,0.163050502294,0.739883804683,0,0.1,0,0,49635.9678075,1,1,0,0,0,16,-103,0,119,2,0,4,1,2,21.2151986253
4,0.00425207609783,75414,75414,0.679993507899,-0.0140020571019,0.0483362901927,6.72424040344e-10,3.01727756265e-11,2600,1,0,14520.9779592,14.4447908401,28225,0,0,0.161593038674,0.739460681166,0,0.1,0,0,49913.3043759,1,1,0,0,0,15,-103,0,118,2,0,4,0,-1,14.7565305419
5,0.00410962767184,75414,75414,0.679993507899,0.00712816403148,0.0483362901927,6.94922157391e-10,2.75588549673e-11,2653,1,0,14754.8405418,12.4588751793,29196,0,0,0.162598469952,0.692252850037,0,0.1,0,0,49589.5919261,1,1,0,0,0,14,-103,0,117,3,0,5,1,-1,25.4501781249
6,0.00391177941309,75415,75415,0.680002524706,-0.0124605377937,0.0483362901927,6.84947878948e-10,2.40147947558e-11,2647,1,0,15068.0605001,12.1810417175,30697,0,0,0.161826868431,0.685211027987,0,0.1,0,0,48789.2367347,1,1,0,0,0,17,-101,0,118,3,0,5,0,3,15.2261650418
7,0.00375868845542,75415,75415,0.680002524706,-0.00696193489975,0.0483362901927,5.54931834289e-10,2.235348178e-11,2628,1,0,14688.4030838,12.782541275,30767,0,0,0.162028675133,0.678902142082,0,0.1,0,0,48036.6005701,1,1,0,0,0,15,-98,0,113,4,0,7,2,-2,15.0789950001
8,0.00365438077823,75415,75415,0.680002524706,0.00629855450019,0.0483362901927,4.44312652838e-10,2.1557698134e-11,2595,1,0,14388.9468331,11.6854577065,31369,0,0,0.163152417434,0.67256526651,0,0.1,0,0,47424.2657514,1,1,0,0,0,14,-98,0,112,5,0,10,3,-1,14.6793987909
9,0.00353066889882,75415,75415,0.680002524706,-0.00187290494748,0.0483362901927,3.1902841896e-10,2.05570373524e-11,2591,1,0,14613.0418749,12.0892081261,30226,0,0,0.165425024165,0.66715748212,0,0.1,0,0,47020.9046683,1,1,0,0,0,12,-98,0,110,6,0,11,1,-1,14.900481083
10,0.00347160755673,75415,75415,0.680002524706,0.0203400903856,0.0483362901927,2.59092993978e-10,2.00755709818e-11,2593,1,0,14324.9684591,11.9776248932,29591,0,0,0.154237955253,0.672398407695,0,0.1,0,0,46623.6616901,1,1,0,0,0,13,-100,0,113,6,0,11,0,1,24.883123958
11,0.00336645885735,75414,75414,0.679993507899,-0.004208349761,0.0483362901927,2.68990828324e-10,1.89825021329e-11,2549,1,0,14272.593833,13.1397919655,28980,0,0,0.156159838102,0.672712760804,0,0.1,0,0,45617.4776831,1,1,0,0,0,13,-101,0,114,7,0,12,1,0,14.638567917
12,0.00323307875413,75415,75415,0.680002524706,-0.0174758812529,0.0483362901927,2.77132647812e-10,1.71827934117e-11,2577,1,0,14444.2496662,11.7729587555,29203,0,0,0.160279086903,0.701291294404,0,0.1,0,0,44944.3634164,1,1,0,0,0,12,-103,0,115,8,0,13,1,-1,14.7381814159
13,0.00313592381858,75414,75414,0.679993507899,-0.0060277719525,0.0483362901927,2.48121180384e-10,1.59678787548e-11,2634,1,0,14477.1765003,11.9161667824,29157,0,0,0.167412665126,0.823892135507,0,0.1,0,0,44176.0960523,1,1,0,0,0,12,-104,0,116,9,0,14,1,0,14.7681760001
14,0.00306302623031,75414,75414,0.679993507899,0.00338147203432,0.0483362901927,2.06476427503e-10,1.51370276386e-11,2655,1,0,15011.728291,12.0975837708,29203,0,0,0.173086297038,0.958108172103,0,0.1,0,0,43387.2263006,1,1,0,0,0,21,-97,0,118,9,0,14,0,9,15.1768295411
15,0.00300016478622,75415,75415,0.680002524706,0.00678688172834,0.0483362901927,1.75138599763e-10,1.4461762906e-11,2671,1,0,14738.6714172,12.7686657906,28312,0,0,0.17668937369,0.87110828228,0,0.1,0,0,42526.9375865,1,1,0,0,0,25,-111,0,136,9,0,14,0,4,25.3237975412
16,0.00294655558828,75415,75415,0.680002524706,-0.00217728134602,0.0483362901927,1.54373072702e-10,1.38850564257e-11,2969,1,0,16182.835917,12.3230829239,26403,0,0,0.180969763303,0.960992793474,0,0.1,0,0,41278.8313693,1,1,0,0,0,32,-104,0,136,10,0,16,1,7,16.4728296669
