iteration,compliance,occupancy_volume,printed_voxels,achieved_vf,offset_mm,dt_mm_per_unit_v,max_abs_v,lambda,cg_iterations,converged,used_multigrid,solve_ms,sensitivity_ms,band_cells,hilb_iterations,hilb_relres,reinit_rms,reinit_max,hj_steps,gamma,kappa_rms,perim_weight,interface_area_mm2,robust_worst,robust_ratio,nuc_frozen,diffusion_energy,diffusion_ratio,void_components,euler_chi,cavities,tunnels,mono_violations,mono_reverts,mono_repaired_voxels,new_components,split_delta,iteration_wall_s
1,0.00452507119956,75415,75415,0.680002524706,0.514799724591,0.0483362901927,2.72151509651e-10,3.21882058996e-11,1172,1,0,109275.192709,14.4370827675,57176,0,0,0.412398490959,0.999816403934,0,0.1,0,0,78635.5391012,1,1,0,0,0,87,-1989,0,2076,0,0,0,0,0,109.54613125
2,0.00391480901374,75415,75415,0.680002524706,-0.0296868914711,0.0483362901927,2.36832538963e-10,2.34385918566e-11,2240,1,0,31114.7376661,13.6654171944,56795,0,0,0.40047852537,0.999655141543,0,0.1,0,0,79497.391815,1,1,0,0,0,512,-2816,42,3370,1,0,0,3,422,31.4234623332
3,0.00344224977404,75415,75415,0.680002524706,-0.0464026231565,0.0483362901927,2.58131699221e-10,1.67335825567e-11,2201,1,0,30953.7559581,15.2113747597,59144,0,0,0.395098578201,0.999867301625,0,0.1,0,0,77419.5870637,1,1,0,0,0,518,-2367,42,2927,1,0,0,0,6,31.2430309579
4,0.00340841880337,75415,75415,0.680002524706,0.0293272570936,0.0483362901927,2.56989829306e-10,1.68778490393e-11,2197,1,0,21426.1030841,13.9579577446,57830,0,0,0.396855871493,0.999934446145,0,0.1,0,0,74461.7554779,1,1,0,0,0,500,249,49,300,2,0,0,11,-29,21.7510670838
5,0.00320487868825,75414,75414,0.679993507899,-0.0205060795294,0.0483362901927,2.37445898433e-10,1.46577236659e-11,2207,1,0,22669.85075,13.5384583473,54651,0,0,0.360406290115,0.999916532049,0,0.1,0,0,71015.146715,1,1,0,0,0,487,28,50,509,2,0,0,0,-13,41.3988469169
6,0.00305479127959,75414,75414,0.679993507899,-0.0262874783557,0.0483362901927,2.11030971193e-10,1.47192569335e-11,2382,1,0,23279.9347911,15.1398749352,42474,0,0,0.355589218501,0.999916532049,0,0.1,0,0,61769.8309496,1,1,0,0,0,439,228,58,269,3,0,0,1,-49,23.609476917
7,0.00300281714095,75415,75415,0.680002524706,0.0113584087383,0.0483362901927,2.19798694318e-10,1.42015101259e-11,2502,1,0,22513.5748343,14.1634998322,41182,0,0,0.356284865896,0.999916532049,0,0.1,0,0,59606.3255586,1,1,0,0,0,385,169,62,278,4,0,0,3,-57,22.7345322091
8,0.00292402502579,75415,75415,0.680002524706,-0.0041024410811,0.0483362901927,2.07113286557e-10,1.30637249149e-11,2627,1,0,23534.8649578,12.9380831718,41113,0,0,0.355777649649,0.999916532049,0,0.1,0,0,57113.3472542,1,1,0,0,0,373,129,61,305,5,0,0,2,-14,23.7223309581
9,0.00281798513689,75414,75414,0.679993507899,-0.0236645355086,0.0483362901927,1.66500850237e-10,1.12738872738e-11,2698,1,0,24370.0545421,14.2043328285,40125,0,0,0.353952261483,0.999916532049,0,0.1,0,0,54076.0784248,1,1,0,0,0,371,89,62,344,5,0,0,0,-2,24.587315958
10,0.00275223130028,75414,75414,0.679993507899,-0.009698328956,0.0483362901927,1.27924930434e-10,1.03030840891e-11,2798,1,0,25805.978375,13.3329582214,36774,0,0,0.34997414445,0.999948651838,0,0.1,0,0,50862.4948126,1,1,0,0,0,370,83,68,355,6,0,0,1,-2,41.222367459
