arm,rung,requested_vf,achieved_vf,iterations,wall_s,compliance,margin_worst_case,margin_effective,max_von_mises_mpa,accepted,verts,tris,n_cad,n_cut,n_ambiguous,n_oblique,obl_all_rms_mm,obl_all_max_mm,obl_all_p99_mm,obl_cad_rms_mm,obl_cut_rms_mm,dihedral_all_deg,dihedral_cut_deg,dihedral_cad_deg,dihedral_refcut_deg,dihedral_refcad_deg,n_refcut,n_refcad,volume_mm3,min_section_mm2,min_feature_violations,field_lattice,field_spacing_mm,boundary_samples,binary_boundary,fractional_samples,crossings,crossing_rms_frac,crossing_rms_mm,midpoint_share
SIMP,0.68,0.680000,0.679951,27,0.000000,0.000000,3254.356637,673.856173,0.016900,1,142354,284704,112583,26191,3580,28365,1.060542,10.333206,4.784076,0.429291,3.745211,8.407493,7.552074,7.584248,10.189099,8.590452,40928,121418,440550.901897,3.410559,5464,design,1.705279,54081,47965,28374,29803,0.076042,0.129674,0.852800
SIMP,0.52,0.520000,0.520005,127,0.000000,0.000000,3389.417071,701.822163,0.016227,1,145550,291100,102843,38975,3732,27041,1.668416,10.386693,6.160131,0.450660,4.169128,9.235320,9.633753,7.902345,10.088480,9.170355,37474,116749,403281.985389,3.410559,5047,design,1.705279,60567,60563,45194,33848,0.001329,0.002266,0.999586
SIMP,0.38,0.380000,0.380000,140,0.000000,0.000000,3290.912400,681.425511,0.016713,1,165096,330212,94724,66549,3823,26963,2.920980,14.315680,10.808754,0.439357,5.795062,9.810777,10.458037,8.055534,9.937820,9.516837,36429,109262,330882.206697,3.410559,5134,design,1.705279,63131,63130,55060,35386,0.003265,0.005568,0.999915
SIMP,0.26,0.260000,0.259996,153,0.000000,0.000000,3014.120054,624.112115,0.018247,1,167778,335588,89254,74646,3878,26388,3.487837,15.599243,12.902407,0.437524,6.419456,9.941336,10.265723,8.303072,9.865943,9.831157,35896,104643,288713.430385,3.410559,5523,design,1.705279,64679,64678,63381,36453,0.001746,0.002978,0.999890
MA_holes8,0.68,0.680000,0.679994,60,0.000000,0.002529,0.000000,0.000000,0.000000,-1,179714,359776,101844,74124,3746,29230,2.528192,14.057353,10.373734,0.449813,5.375079,11.148286,13.579444,7.929620,11.037513,9.187526,39966,117359,372062.486231,3.410559,5280,external,1.705279,63252,54534,15990,38688,0.150269,0.256251,0.657000
MA_phase,0.68,0.680000,0.680003,60,0.000000,0.002527,0.000000,0.000000,0.000000,-1,180702,361836,102450,74476,3776,29955,2.479949,14.067529,10.369908,0.455862,5.282095,11.163473,13.493838,8.056282,11.064325,9.270681,40169,118571,372195.225679,3.410559,5637,external,1.705279,63492,54741,16009,38945,0.153709,0.262117,0.652818
MA_poor12,0.68,0.680000,0.680003,60,0.000000,0.002527,0.000000,0.000000,0.000000,-1,179176,358548,102386,73000,3790,30346,2.584799,13.995164,10.694566,0.476181,5.426520,10.700315,12.550888,8.088879,10.794343,9.303931,39187,118936,372302.497474,3.410559,5527,external,1.705279,63319,54974,15822,38479,0.149059,0.254187,0.663011
MA_rich6,0.68,0.680000,0.679994,60,0.000000,0.002531,0.000000,0.000000,0.000000,-1,173848,347888,101682,68382,3784,29022,2.425065,14.081070,10.151398,0.446090,5.317527,10.148926,11.574544,7.929406,10.581126,9.191793,38865,117627,371890.586284,3.410559,5282,external,1.705279,62101,54368,14322,37182,0.145776,0.248589,0.688021
MB_gyr12,0.68,0.680000,0.679994,60,0.000000,0.002526,0.000000,0.000000,0.000000,-1,173652,347436,102188,67674,3790,29105,2.377411,13.102804,9.917185,0.474585,5.137946,9.616196,10.461339,7.795872,10.447669,9.079027,39622,118378,372424.157652,3.410559,5163,external,1.705279,62166,54434,14553,37054,0.143469,0.244655,0.684865
MB_gyr20,0.68,0.680000,0.679994,60,0.000000,0.002541,0.000000,0.000000,0.000000,-1,173728,347516,103607,66393,3728,30433,2.670004,14.748722,10.701634,0.459230,5.498852,9.667209,10.490822,7.996208,10.583778,9.142193,38954,118320,371638.251336,3.410559,5503,external,1.705279,61658,54116,13862,36733,0.140790,0.240086,0.697302
MC_stress,0.68,0.680000,0.679994,60,0.000000,0.002799,0.000000,0.000000,0.000000,-1,154260,308544,100560,49950,3750,26519,2.254727,12.291356,9.729139,0.439184,5.335994,8.897833,8.620249,7.757883,9.990369,9.096516,36226,114805,371636.244080,3.410559,5002,external,1.705279,56809,52173,8865,32134,0.114106,0.194583,0.790284
MN_nucleating,0.68,0.680000,0.680003,60,0.000000,0.002528,0.000000,0.000000,0.000000,-1,181304,362992,102125,75442,3737,29514,2.612124,14.056644,10.477152,0.476951,5.400493,11.462869,14.137251,7.945095,11.083436,9.267235,40148,118033,372183.235329,3.410559,5215,external,1.705279,63623,54468,16712,39350,0.157425,0.268453,0.637814
