==============================================================================
M3 — THE TOPOLOGY CURVES
==============================================================================

★ PER ARM — the whole run in one row

arm             it  b0 first  b0 last  b0 max  NEW tot  SPLIT tot  viol  revert  chi last  b1 last  cav
-------------------------------------------------------------------------------------------------------
MN_nucleating   60        87       41     518      263       -309    52       0       -89      135    5
MA_holes8       60        87       11     522      152        -72    52       0       -96      109    2
MC_stress       60         8        4       8      256         -2    57       0        -3        7    0
MB_gyr12        60        15       10     166       91        -10    45       0       -37       47    0
MB_gyr20        60        15        6      40       71          6    43       0       -15       21    0
MA_poor12       60       490        9     490      130       -479    53       0       -83       93    1
MA_rich6        60      1268       14    1268      207      -1235    47       0       -40       56    2
MA_phase        60        95       15     525      179        -72    53       0      -110      127    2

★ b0 = void components. NEW = components sharing no voxel with any
  previous void. SPLIT = the rest of the change in b0, i.e. existing void
  fragmenting as solid bridges across it. b1 = tunnels = b0 + b2 - chi.

==============================================================================
MN_nucleating — per iteration
==============================================================================
 it     b0  d(b0)   NEW  SPLIT     chi     b1  cav  viol  rev    compliance
  1     87            0      0   -1989   2076    0     0    0  0.0045250712
  2    512   +425     3    422   -2816   3370   42     1    0  0.0039148090
  3    518     +6     0      6   -2367   2927   42     1    0  0.0034422498
  4    500    -18    11    -29     249    300   49     2    0  0.0034084188
  5    487    -13     0    -13      28    509   50     2    0  0.0032048787
  6    439    -48     1    -49     228    269   58     3    0  0.0030547913
  7    385    -54     3    -57     169    278   62     4    0  0.0030028171
  8    373    -12     2    -14     129    305   61     5    0  0.0029240250
  9    371     -2     0     -2      89    344   62     5    0  0.0028179851
 10    370     -1     1     -2      83    355   68     6    0  0.0027522313
 11    351    -19     3    -22     211    208   68     7    0  0.0027503950
 12    342     -9     3    -12     183    226   67     8    0  0.0027126308
 13    341     -1     0     -1     153    256   68     8    0  0.0026559138
 14    331    -10     1    -11     128    271   68     9    0  0.0026157382
 15    310    -21     3    -24     109    286   85    10    0  0.0026044194
 16    274    -36     2    -38     126    255  107    11    0  0.0025849640
 17    252    -22     4    -26      78    281  107    12    0  0.0025733482
 18    182    -70     3    -73      -1    268   85    13    0  0.0025654269
 19    112    -70     0    -70     -86    241   43    13    0  0.0025592196
 20     94    -18     0    -18    -118    248   36    13    0  0.0025533473
 21     71    -23     2    -25     -79    178   28    14    0  0.0025488105
 22     74     +3     4     -1     -96    199   29    15    0  0.0025472983
 23     73     -1     1     -2    -124    223   26    16    0  0.0025452709
 24     76     +3     4     -1    -123    224   25    17    0  0.0025433479
 25     76     +0     2     -2    -119    221   26    18    0  0.0025420078
 26     63    -13     2    -15     -78    157   16    19    0  0.0025420105
 27     64     +1     4     -3    -101    181   16    20    0  0.0025403444
 28     64     +0     4     -4     -94    176   18    21    0  0.0025391971
 29     68     +4     6     -2    -112    201   21    22    0  0.0025378697
 30     67     -1     0     -1    -105    191   19    22    0  0.0025370731
 31     52    -15     2    -17    -100    164   12    23    0  0.0025380744
 32     55     +3     7     -4    -104    172   13    24    0  0.0025367723
 33     51     -4     2     -6    -113    178   14    25    0  0.0025362500
 34     50     -1     5     -6    -108    171   13    26    0  0.0025348425
 35     52     +2     3     -1    -109    178   17    27    0  0.0025349551
 36     50     -2     8    -10     -91    150    9    28    0  0.0025355516
 37     45     -5     3     -8    -106    160    9    29    0  0.0025338321
 38     50     +5     8     -3     -96    155    9    30    0  0.0025337536
 39     45     -5     1     -6    -109    164   10    31    0  0.0025331953
 40     51     +6     9     -3     -99    160   10    32    0  0.0025323576
 41     44     -7     3    -10     -99    152    9    33    0  0.0025340846
 42     42     -2     7     -9     -92    141    7    34    0  0.0025326733
 43     42     +0     4     -4    -101    150    7    35    0  0.0025327782
 44     42     +0     9     -9    -101    150    7    36    0  0.0025311302
 45     43     +1     7     -6    -111    161    7    37    0  0.0025312494
 46     45     +2    11     -9     -75    127    7    38    0  0.0025322847
 47     38     -7     5    -12    -105    150    7    39    0  0.0025314917
 48     44     +6    11     -5     -88    139    7    40    0  0.0025304027
 49     35     -9     3    -12    -108    150    7    41    0  0.0025306696
 50     44     +9    13     -4     -91    141    6    42    0  0.0025298215
 51     33    -11     3    -14     -97    136    6    43    0  0.0025307778
 52     39     +6    11     -5     -89    133    5    44    0  0.0025300595
 53     38     -1     5     -6     -99    143    6    45    0  0.0025294442
 54     44     +6    12     -6     -91    141    6    46    0  0.0025294365
 55     37     -7     5    -12    -101    144    6    47    0  0.0025291862
 56     40     +3    11     -8     -73    117    4    48    0  0.0025304917
 57     38     -2     6     -8     -93    136    5    49    0  0.0025298140
 58     43     +5     9     -4     -83    131    5    50    0  0.0025289397
 59     36     -7     3    -10    -101    142    5    51    0  0.0025284507
 60     41     +5     8     -3     -89    135    5    52    0  0.0025284329

==============================================================================
MA_holes8 — per iteration
==============================================================================
 it     b0  d(b0)   NEW  SPLIT     chi     b1  cav  viol  rev    compliance
  1     87            0      0   -1989   2076    0     0    0  0.0045250712
  2    511   +424     3    422   -2778   3331   42     1    0  0.0039148090
  3    522    +11     0     11   -2382   2946   42     1    0  0.0034423589
  4    492    -30    12    -29      13    528   49     2    0  0.0034133950
  5    482    -10     0    -10      35    496   49     2    0  0.0032439220
  6    439    -43     1    -42     252    244   57     3    0  0.0030750047
  7    391    -48     3    -52     189    263   61     4    0  0.0030228119
  8    371    -20     2    -21     147    285   61     5    0  0.0029361194
  9    364     -7     0     -7      92    333   61     5    0  0.0028352123
 10    361     -3     1     -3      78    348   65     6    0  0.0027545892
