iteration,compliance,occupancy_volume,printed_voxels,achieved_vf,offset_mm,dt_mm_per_unit_v,max_abs_v,lambda,cg_iterations,converged,used_multigrid,solve_ms,sensitivity_ms,band_cells,hilb_iterations,hilb_relres,reinit_rms,reinit_max,hj_steps,gamma,kappa_rms,perim_weight,interface_area_mm2,robust_worst,robust_ratio,nuc_frozen,diffusion_energy,diffusion_ratio,void_components,euler_chi,cavities,tunnels,mono_violations,mono_reverts,mono_repaired_voxels,new_components,split_delta,renuc_events,renuc_voxels,frac_cut_cells,frac_area_mm2,frac_build_ms,frac_sens_ms,iteration_wall_s
1,0.00537346833265,58590,58590,0.528294741398,0.546790286899,0.0483362901927,5.7488047386e-10,1.07839859719e-10,1159,1,0,94835.805542,15.0282082558,58589,0,0,0.416996244526,0.999915581963,0,0.1,0,0,76737.6224174,1,1,0,0,0,2,-96,0,98,0,0,0,0,0,0,0,0,0,0,0,103.675200209
2,0.00418683791014,58591,58591,0.528303758205,0.00275261700153,0.0483362901927,2.38815957201e-10,6.55818846566e-11,2105,1,0,39539.7497497,16.9968342781,55533,0,0,0.418423341662,0.999870727539,0,0.1,0,0,76593.1669759,1,1,0,0,0,25,-201,9,235,0,0,0,0,23,0,0,0,0,0,0,48.3900328334
3,0.00383120928616,58591,58591,0.528303758205,0.0219319015741,0.0483362901927,1.46303714289e-10,5.37939084559e-11,2149,1,0,38321.8885417,13.3303332329,54907,0,0,0.424424688433,0.999867301625,0,0.1,0,0,73156.2045916,1,1,0,0,0,52,-200,27,279,0,0,0,0,27,0,0,0,0,0,0,46.3278759997
4,0.00372400172536,58590,58590,0.528294741398,0.0290039926767,0.0483362901927,9.80544761185e-11,5.09933928265e-11,2267,1,0,25064.3197083,14.4331245422,51299,0,0,0.4399809962,0.999707289778,0,0.1,0,0,67944.1475028,1,1,0,0,0,101,-350,52,503,1,0,0,2,47,0,0,0,0,0,0,33.3451859578
5,0.00365334992363,58590,58590,0.528294741398,0.025575235486,0.0483362901927,8.29971315092e-11,4.93913239486e-11,2365,1,0,26632.0030842,15.3704581261,49786,0,0,0.414270939198,0.999877672866,0,0.1,0,0,62140.2077932,1,1,0,0,0,114,-93,57,264,1,0,0,0,13,0,0,0,0,0,0,52.8461765
6,0.00373679755656,58591,58591,0.528303758205,0.0382866710424,0.0483362901927,7.4742637502e-11,5.37592229995e-11,2703,1,0,31518.5019579,22.0996670723,37888,0,0,0.42098359543,0.999877672866,0,0.1,0,0,49214.2278431,1,1,0,0,0,92,20,41,113,2,0,0,1,-23,0,0,0,0,0,0,40.1847800827
7,0.00367074683319,58590,58590,0.528294741398,0.011545047164,0.0483362901927,5.68662529276e-11,5.27034642684e-11,2692,1,0,32814.0961666,14.2610831261,36380,0,0,0.424071864137,0.999877672866,0,0.1,0,0,47774.9781359,1,1,0,0,0,93,-10,44,147,3,0,0,7,-6,0,0,0,0,0,0,41.0376375001
8,0.0036186195135,58591,58591,0.528303758205,0.00952817499638,0.0483362901927,5.11987348025e-11,5.02587306595e-11,2718,1,0,30388.3710003,12.9174590111,35891,0,0,0.423290490416,0.999877672866,0,0.1,0,0,46022.0465574,1,1,0,0,0,88,19,44,113,4,0,0,3,-8,0,0,0,0,0,0,38.6259017503
9,0.00358534646597,58591,58591,0.528303758205,0.00797770917416,0.0483362901927,4.68287145044e-11,5.13026117805e-11,2694,1,0,30837.265666,13.0719590187,34991,0,0,0.417604946732,0.999809181352,0,0.1,0,0,44395.5795599,1,1,0,0,0,79,13,34,100,5,0,0,2,-11,0,0,0,0,0,0,39.1855450002
10,0.0035445793543,58590,58590,0.528294741398,0.00501908361912,0.0483362901927,4.19368585587e-11,4.92086807137e-11,2695,1,0,30484.6329589,13.0646657944,32659,0,0,0.378428876678,0.999930087892,0,0.1,0,0,42877.9413125,1,1,0,0,0,73,-19,36,128,6,0,0,3,-9,0,0,0,0,0,0,55.7909738752
