iteration,compliance,occupancy_volume,printed_voxels,achieved_vf,offset_mm,dt_mm_per_unit_v,max_abs_v,lambda,cg_iterations,converged,used_multigrid,solve_ms,sensitivity_ms,band_cells,hilb_iterations,hilb_relres,reinit_rms,reinit_max,hj_steps,gamma,kappa_rms,perim_weight,interface_area_mm2,robust_worst,robust_ratio,nuc_frozen,diffusion_energy,diffusion_ratio,void_components,euler_chi,cavities,tunnels,mono_violations,mono_reverts,mono_repaired_voxels,new_components,split_delta,renuc_events,renuc_voxels,frac_cut_cells,frac_area_mm2,frac_build_ms,frac_sens_ms,iteration_wall_s
1,0.00759448858186,58590,58590,0.528294741398,0.615920240039,0.0483362901927,1.16917386304e-09,8.63969516963e-11,1245,1,0,96967.9077082,13.5515418053,52270,0,0,0.440131331932,0.999588203826,0,0.1,0,0,70150.0572513,0,1.26593996235,0,0,0,52,1475,0,-1423,0,0,0,0,0,0,0,0,0,0,0,151.422614583
2,0.00685046348949,58591,58591,0.528303758205,0.0191021286665,0.0483362901927,7.72713099321e-10,7.64208683737e-11,2476,1,0,19144.6990418,12.2871661186,52866,0,0,0.439015256584,0.999870727539,0,0.1,0,0,68291.1318314,0,1.23489322891,0,0,0,30,440,0,-410,0,0,0,0,-22,0,0,0,0,0,0,58.8082667082
3,0.00579515418913,58591,58591,0.528303758205,-0.00715145882853,0.0483362901927,3.7474839553e-10,5.77546092998e-11,2459,1,0,18987.858458,12.0986247063,54128,0,0,0.4412528266,0.999867301625,0,0.1,0,0,68084.9120734,0,1.18725408102,0,0,0,26,-200,0,226,0,0,0,0,-4,0,0,0,0,0,0,56.857956958
4,0.0057074446517,58590,58590,0.528294741398,0.0295384921084,0.0483362901927,4.37676586189e-10,6.18690263317e-11,2551,1,0,19374.988667,12.1667909622,50276,0,0,0.442377045474,0.999851568197,0,0.1,0,0,62243.5574819,0,1.18462734062,0,0,0,82,-994,0,1076,0,0,0,0,56,0,0,0,0,0,0,63.8976324592
5,0.00531826719336,58591,58591,0.528303758205,0.00582476370098,0.0483362901927,4.0395749911e-10,5.61391992304e-11,2554,1,0,19833.3101668,12.0810408592,49719,0,0,0.369638673728,0.99993368764,0,0.1,0,0,59030.9461732,0,1.16357575015,0,0,0,243,-1464,32,1739,0,0,0,0,161,0,0,0,0,0,0,74.026707334
6,0.00488000044626,58591,58591,0.528303758205,-0.0647261904375,0.0483362901927,7.5936758382e-10,5.91705052218e-11,3261,1,0,23681.3184171,12.4523329735,39669,0,0,0.415283226945,0.99993368764,0,0.1,0,0,51750.9128707,0,1.14552300858,0,0,0,237,-1443,33,1713,0,0,0,0,-6,0,0,0,0,0,0,74.5263604578
7,0.00490474379288,58591,58591,0.528303758205,0.030830139322,0.0483362901927,5.73000082295e-10,6.15616486758e-11,3353,1,0,26366.6780834,12.5569586754,38583,0,0,0.377924320931,0.99993368764,0,0.1,0,0,49189.8137724,0,1.13991571997,0,0,0,211,-855,30,1096,1,0,0,2,-28,0,0,0,0,0,0,80.2651016251
8,0.00464054381755,58591,58591,0.528303758205,0.000261725935507,0.0483362901927,4.45526478045e-10,5.18957246226e-11,3317,1,0,23146.2641668,12.181125164,37350,0,0,0.377589997457,0.99993368764,0,0.1,0,0,48133.7127971,0,1.11601263172,0,0,0,198,-601,28,827,2,0,0,2,-15,0,0,0,0,0,0,73.0908100409
9,0.0043648213982,58591,58591,0.528303758205,-0.0131393545116,0.0483362901927,2.69293270271e-10,4.23406158022e-11,3288,1,0,24011.1899576,12.2535834312,36409,0,0,0.394059147171,0.99993368764,0,0.1,0,0,47354.8636458,0,1.09529958367,0,0,0,190,-418,32,640,2,0,0,0,-8,0,0,0,0,0,0,76.8265247913
10,0.00427018217134,58591,58591,0.528303758205,0.00260468156999,0.0483362901927,2.64447149218e-10,4.08024856077e-11,3181,1,0,23528.1096253,12.2322497368,35040,0,0,0.372442154999,0.99976601618,0,0.1,0,0,45376.955734,0,1.08871327452,0,0,0,189,-219,33,441,3,0,0,1,-2,0,0,0,0,0,0,80.6102362503
