iteration,compliance,occupancy_volume,printed_voxels,achieved_vf,offset_mm,dt_mm_per_unit_v,max_abs_v,lambda,cg_iterations,converged,used_multigrid,solve_ms,sensitivity_ms,band_cells,hilb_iterations,hilb_relres,reinit_rms,reinit_max,hj_steps,gamma,kappa_rms,perim_weight,interface_area_mm2,robust_worst,robust_ratio,nuc_frozen,diffusion_energy,diffusion_ratio,void_components,euler_chi,cavities,tunnels,mono_violations,mono_reverts,mono_repaired_voxels,new_components,split_delta,renuc_events,renuc_voxels,frac_cut_cells,frac_area_mm2,frac_build_ms,frac_sens_ms,iteration_wall_s
1,0.0222797019797,58590,58590,0.528294741398,-0.00322038249952,0.0483362901927,1.68018312427e-08,6.21170520619e-10,3823,1,0,34289.4653749,13.0414590836,6157,0,0,0.224517657838,0.98774261088,0,0.1,0,0,8716.80512708,1,1,0,0,0,8,2,0,6,0,0,0,0,0,0,0,0,0,0,0,34.5308389594
2,0.0216763256492,58590,58590,0.528294741398,0.00474595615402,0.0483362901927,1.47648885433e-08,5.56745341993e-10,3614,1,0,37882.7589579,13.3991670609,6261,0,0,0.226624688125,0.984005224874,0,0.1,0,0,9217.29903451,1,1,0,0,0,10,1,0,9,1,0,0,4,-2,0,0,0,0,0,0,38.0898712911
3,0.0211067977464,58590,58590,0.528294741398,0.00454559775812,0.0483362901927,1.26966381989e-08,4.9605413308e-10,3669,1,0,25785.8197498,12.7140421867,6330,0,0,0.228536515807,0.983039824458,0,0.1,0,0,9785.43356101,1,1,0,0,0,13,3,0,10,2,0,0,5,-2,0,0,0,0,0,0,25.9332305002
4,0.0204615575483,58590,58590,0.528294741398,-0.00407356362157,0.0483362901927,1.06487331848e-08,4.41327706091e-10,3724,1,0,30734.5422077,12.1302924156,6386,0,0,0.23158615319,0.981566653182,0,0.1,0,0,10295.4541046,1,1,0,0,0,18,4,0,14,3,0,0,5,0,0,0,0,0,0,0,30.9027314996
5,0.0198610967015,58590,58590,0.528294741398,-0.0037432388297,0.0483362901927,8.89439320923e-09,4.02573898571e-10,3711,1,0,26001.925458,12.4023342133,6576,0,0,0.187219040042,0.951349859584,0,0.1,0,0,10706.282161,1,1,0,0,0,22,9,0,13,4,0,0,7,-3,0,0,0,0,0,0,38.582960709
6,0.0192359463896,58590,58590,0.528294741398,-0.00633145262979,0.0483362901927,8.6555466046e-09,3.82078942533e-10,3569,1,0,25117.5557094,13.7414999008,6420,0,0,0.184106484723,0.951920960219,0,0.1,0,0,10624.604678,1,1,0,0,0,33,13,0,20,5,0,0,12,-1,0,0,0,0,0,0,25.2974829581
7,0.0186657021184,58591,58591,0.528303758205,-0.00687861988269,0.0483362901927,1.11874198401e-08,3.66459491229e-10,3560,1,0,30004.9810829,12.5668749809,6595,0,0,0.183207134616,0.978773011127,0,0.1,0,0,10832.4623304,1,1,0,0,0,32,6,0,26,6,0,0,7,-8,0,0,0,0,0,0,30.1445406252
8,0.0181408406982,58591,58591,0.528303758205,-0.0043298712674,0.0483362901927,1.11937616074e-08,3.50933329517e-10,3551,1,0,25121.9294591,13.4013748169,6782,0,0,0.187860577099,0.970569617136,0,0.1,0,0,10950.5992688,1,1,0,0,0,23,-5,0,28,7,0,0,3,-12,0,0,0,0,0,0,25.315128292
9,0.0176721347195,58591,58591,0.528303758205,-0.000863048497585,0.0483362901927,1.0026987116e-08,3.3640482882e-10,3544,1,0,24997.5446253,12.0901660919,6925,0,0,0.194387715538,0.962561262138,0,0.1,0,0,10996.3288335,1,1,0,0,0,20,0,0,20,8,0,0,3,-6,0,0,0,0,0,0,25.1483441251
10,0.0172123469898,58590,58590,0.528294741398,-0.00202271004947,0.0483362901927,8.34789328752e-09,3.19564016373e-10,3529,1,0,29750.8925834,13.3078336716,7025,0,0,0.15618097516,0.980787173626,0,0.1,0,0,11045.848365,1,1,0,0,0,16,-4,0,20,9,0,0,1,-5,0,0,0,0,0,0,42.1099477503
