iteration,compliance,occupancy_volume,printed_voxels,achieved_vf,offset_mm,dt_mm_per_unit_v,max_abs_v,lambda,cg_iterations,converged,used_multigrid,solve_ms,sensitivity_ms,band_cells,hilb_iterations,hilb_relres,reinit_rms,reinit_max,hj_steps,gamma,kappa_rms,perim_weight,interface_area_mm2,robust_worst,robust_ratio,nuc_frozen,diffusion_energy,diffusion_ratio,void_components,euler_chi,cavities,tunnels,mono_violations,mono_reverts,mono_repaired_voxels,new_components,split_delta,renuc_events,renuc_voxels,frac_cut_cells,frac_area_mm2,frac_build_ms,frac_sens_ms,iteration_wall_s
1,0.00360289249474,88423,88423,0.79729315444,0.456252321601,0.0483362901927,1.13126118527e-10,3.43326222259e-11,1100,1,0,84485.8109159,14.8039588928,56438,0,0,0.398225071682,0.999936538532,0,0.1,0,0,80010.3999554,1,1,0,0,0,172,15,38,195,0,0,0,0,0,0,0,0,0,0,0,95.7191923331
2,0.00324288694723,88424,88424,0.797302171247,0.0034999102354,0.0483362901927,9.65381033162e-11,2.31095998432e-11,1729,1,0,21776.9293332,13.1500000954,56665,0,0,0.398583095294,0.999692483335,0,0.1,0,0,79495.8841854,1,1,0,0,0,153,81,58,130,1,0,0,78,-97,0,0,0,0,0,0,33.9657789581
3,0.00292412940128,88424,88424,0.797302171247,-0.0215072184801,0.0483362901927,7.8322397823e-11,1.33670531269e-11,1835,1,0,21578.0614161,12.1739587784,58982,0,0,0.395551660011,0.999867301625,0,0.1,0,0,77216.3107472,1,1,0,0,0,92,-187,56,335,2,0,0,48,-109,0,0,0,0,0,0,32.8909988333
4,0.00273825721944,88424,88424,0.797302171247,-0.0324908643961,0.0483362901927,7.7759095288e-11,8.13376137441e-12,1831,1,0,13954.2044172,13.7332921028,56357,0,0,0.392353705823,0.999310076185,0,0.1,0,0,73857.2385859,1,1,0,0,0,25,-19,7,51,3,0,0,2,-69,0,0,0,0,0,0,25.1953969589
5,0.00265432298324,88423,88423,0.79729315444,-0.0178355723619,0.0483362901927,7.88242391818e-11,5.9439969446e-12,1856,1,0,18816.4448333,12.3585839272,53535,0,0,0.356217703805,0.99981199354,0,0.1,0,0,71080.984665,1,1,0,0,0,40,-12,19,71,4,0,0,1,14,0,0,0,0,0,0,41.8765695831
6,0.00259834253544,88424,88424,0.797302171247,-0.0103715807199,0.0483362901927,6.94675878936e-11,4.59035034617e-12,1907,1,0,14334.644125,14.1493339539,45341,0,0,0.353397857152,0.99981199354,0,0.1,0,0,65828.4008494,1,1,0,0,0,34,-16,14,64,5,0,0,1,-7,0,0,0,0,0,0,25.7651840411
7,0.00258885615723,88423,88423,0.79729315444,0.0190865248442,0.0483362901927,6.17651286007e-11,4.51771491718e-12,1914,1,0,14731.5542083,12.5141248703,45080,0,0,0.357154321446,0.99981199354,0,0.1,0,0,64425.3458684,1,1,0,0,0,34,-10,9,53,6,0,0,10,-10,0,0,0,0,0,0,26.2719386658
8,0.00257048092608,88424,88424,0.797302171247,0.00390522181988,0.0483362901927,5.60939013437e-11,4.0724069391e-12,1981,1,0,14987.716125,12.1925406456,44433,0,0,0.359922815569,0.99981199354,0,0.1,0,0,61972.7445113,1,1,0,0,0,31,-12,9,52,7,0,0,8,-11,0,0,0,0,0,0,26.36674575
9,0.00256207828904,88423,88423,0.79729315444,0.0121254473925,0.0483362901927,5.4695204834e-11,4.01557530869e-12,2037,1,0,15399.139833,12.2234582901,43912,0,0,0.370213870528,0.99981199354,0,0.1,0,0,59353.7359277,1,1,0,0,0,48,19,22,51,8,0,0,24,-7,0,0,0,0,0,0,26.6949572922
10,0.00255077571954,88424,88424,0.797302171247,0.00585727393627,0.0483362901927,5.08195918102e-11,3.74865863859e-12,2152,1,0,20731.4545422,15.4402909279,43122,0,0,0.35813917477,0.999872709384,0,0.1,0,0,57181.2822,1,1,0,0,0,36,8,7,35,9,0,0,9,-21,0,0,0,0,0,0,43.86929475
