iteration,compliance,occupancy_volume,printed_voxels,achieved_vf,offset_mm,dt_mm_per_unit_v,max_abs_v,lambda,cg_iterations,converged,used_multigrid,solve_ms,sensitivity_ms,band_cells,hilb_iterations,hilb_relres,reinit_rms,reinit_max,hj_steps,gamma,kappa_rms,perim_weight,interface_area_mm2,robust_worst,robust_ratio,nuc_frozen,diffusion_energy,diffusion_ratio,void_components,euler_chi,cavities,tunnels,mono_violations,mono_reverts,mono_repaired_voxels,new_components,split_delta,renuc_events,renuc_voxels,frac_cut_cells,frac_area_mm2,frac_build_ms,frac_sens_ms,iteration_wall_s
1,0.00361753961352,88423,88423,0.79729315444,0.33208378033,0.0483362901927,2.32681625051e-10,2.05401994776e-11,1085,1,0,88179.7471671,13.8385419846,61467,0,0,0.378160863218,0.999915581963,0,0.1,0,0,73803.6123535,0,1.08111144485,0,0,0,882,356,46,572,0,0,0,0,0,0,0,0,0,0,0,131.917623959
2,0.00325814942756,88423,88423,0.79729315444,-0.0425373916177,0.0483362901927,2.57688854878e-10,1.55574038489e-11,1793,1,0,13317.091208,12.7434167862,56678,0,0,0.360139382889,0.999448089757,0,0.1,0,0,69992.9296027,0,1.05960679616,0,0,0,885,-303,57,1245,1,0,0,6,-3,0,0,0,0,0,0,40.4668274592
3,0.00308539373981,88423,88423,0.79729315444,-0.0147694584472,0.0483362901927,2.34790388116e-10,1.34640667285e-11,1793,1,0,13558.165792,12.7176661491,50643,0,0,0.362197754688,0.999867301625,0,0.1,0,0,68010.0171722,0,1.05046999632,0,0,0,861,-791,67,1719,2,0,0,4,-28,0,0,0,0,0,0,40.7975482079
4,0.00310142858833,88424,88424,0.797302171247,0.0463240707414,0.0483362901927,2.32304356159e-10,1.33925193248e-11,1828,1,0,13899.443625,12.9366250038,50526,0,0,0.372152322239,0.999752002793,0,0.1,0,0,69879.9769461,0,1.05197403688,0,0,0,860,-872,64,1796,3,0,0,2,-3,0,0,0,0,0,0,40.5049944171
5,0.00300018023919,88424,88424,0.797302171247,0.000284568207569,0.0483362901927,2.03736905739e-10,1.23100166928e-11,1828,1,0,15673.6567087,12.7046661377,50033,0,0,0.362227294446,0.999697023619,0,0.1,0,0,67443.3221622,0,1.04693575735,0,0,0,571,-466,71,1108,3,0,0,0,-289,0,0,0,0,0,0,56.8440684997
6,0.00285336773745,88424,88424,0.797302171247,-0.0158108896607,0.0483362901927,2.3498310931e-10,1.08493057876e-11,1823,1,0,12591.893292,13.0489578247,43438,0,0,0.361928879519,0.999684818716,0,0.1,0,0,61731.7614273,0,1.03736909054,0,0,0,481,-191,71,743,3,0,0,0,-90,0,0,0,0,0,0,39.4304946247
7,0.00271749491057,88424,88424,0.797302171247,-0.0448523215326,0.0483362901927,1.85469472979e-10,9.09043021696e-12,1814,1,0,13487.182416,12.242166996,41045,0,0,0.363283994281,0.999656997747,0,0.1,0,0,56981.6827507,0,1.030691143,0,0,0,505,-194,72,771,3,0,0,0,24,0,0,0,0,0,0,37.7668752917
8,0.00267061596745,88423,88423,0.79729315444,0.00519165354552,0.0483362901927,1.59899540138e-10,8.37046871616e-12,1844,1,0,10364.3747921,11.8310418129,36672,0,0,0.366114476568,0.999656997747,0,0.1,0,0,55209.5499882,0,1.02831809267,0,0,0,508,5,79,582,4,0,0,8,-5,0,0,0,0,0,0,31.1960553331
9,0.00259287009683,88424,88424,0.797302171247,-0.0254482205575,0.0483362901927,1.27197942661e-10,7.06039870362e-12,1846,1,0,10137.4877501,12.0827088356,35347,0,0,0.313501027372,0.999656997747,0,0.1,0,0,51516.6690335,0,1.02344220317,0,0,0,493,18,79,554,5,0,0,1,-16,0,0,0,0,0,0,30.6801050412
10,0.00256219554102,88424,88424,0.797302171247,0.0101076691861,0.0483362901927,1.25489156995e-10,6.47500585525e-12,1852,1,0,10378.9587498,11.6362080574,34228,0,0,0.318900422595,0.999788916998,0,0.1,0,0,49208.0506736,0,1.02113153762,0,0,0,487,38,79,528,6,0,0,1,-7,0,0,0,0,0,0,41.3897755411
