iteration,compliance,occupancy_volume,printed_voxels,achieved_vf,offset_mm,dt_mm_per_unit_v,max_abs_v,lambda,cg_iterations,converged,used_multigrid,solve_ms,sensitivity_ms,band_cells,hilb_iterations,hilb_relres,reinit_rms,reinit_max,hj_steps,gamma,kappa_rms,perim_weight,interface_area_mm2,robust_worst,robust_ratio,nuc_frozen,diffusion_energy,diffusion_ratio,void_components,euler_chi,cavities,tunnels,mono_violations,mono_reverts,mono_repaired_voxels,new_components,split_delta,renuc_events,renuc_voxels,frac_cut_cells,frac_area_mm2,frac_build_ms,frac_sens_ms,iteration_wall_s
1,0.00251323079931,88424,88424,0.797302171247,0.00693665929676,0.0483362901927,3.64174284007e-11,6.95604192414e-12,2517,1,0,19087.641459,11.5301251411,7793,0,0,0.184695043828,0.922996618624,0,0.1,0,0,9834.82164168,1,1,0,0,0,15,11,0,4,0,0,0,0,0,0,0,0,0,0,0,19.2220068332
2,0.00250549955993,88424,88424,0.797302171247,0.000116315983613,0.0483362901927,3.53969472339e-11,6.46077032496e-12,2563,1,0,19480.5011659,11.9407091141,7365,0,0,0.185604158599,0.930411424843,0,0.1,0,0,9880.80312536,1,1,0,0,0,14,9,0,5,1,0,0,2,-3,0,0,0,0,0,0,19.6183020421
3,0.002497954305,88424,88424,0.797302171247,-0.00150605612879,0.0483362901927,3.26779706072e-11,6.06821535512e-12,2585,1,0,13648.9357905,11.5295000076,7108,0,0,0.187770326037,0.953231758568,0,0.1,0,0,9990.16426638,1,1,0,0,0,16,8,0,8,2,0,0,2,0,0,0,0,0,0,0,13.782917208
4,0.00249098382495,88423,88423,0.79729315444,-0.000600003867542,0.0483362901927,3.06093234202e-11,5.73366354798e-12,2579,1,0,13883.5238333,11.5702495575,7040,0,0,0.192389884359,0.956913475053,0,0.1,0,0,10094.3439001,1,1,0,0,0,18,8,0,10,3,0,0,2,0,0,0,0,0,0,0,14.0206968333
5,0.00248455133609,88424,88424,0.797302171247,0.000500422837603,0.0483362901927,3.07964197719e-11,5.4348718777e-12,2571,1,0,13761.4908748,11.4395842552,6938,0,0,0.141757812478,0.923864208438,0,0.1,0,0,10186.7130421,1,1,0,0,0,22,12,0,10,4,0,0,5,-1,0,0,0,0,0,0,24.067517417
6,0.00247822648912,88424,88424,0.797302171247,-0.00304135224309,0.0483362901927,3.04034699855e-11,5.21990455941e-12,2509,1,0,13239.8686671,12.3009171486,6658,0,0,0.144991101602,0.927107109015,0,0.1,0,0,10028.7371104,1,1,0,0,0,22,14,0,8,5,0,0,2,-2,0,0,0,0,0,0,13.3759984579
7,0.00247259850351,88423,88423,0.79729315444,0.000215031189171,0.0483362901927,3.00921587018e-11,4.99458009759e-12,2504,1,0,13378.8284998,12.0337080956,6695,0,0,0.149255474106,0.944151960032,0,0.1,0,0,10102.1160282,1,1,0,0,0,24,15,0,9,6,0,0,3,-1,0,0,0,0,0,0,13.5143789169
8,0.0024671617877,88423,88423,0.79729315444,-0.000161662942244,0.0483362901927,2.95867242535e-11,4.79823061209e-12,2502,1,0,13303.841042,11.5974578857,6739,0,0,0.155734291678,0.990463064307,0,0.1,0,0,10166.5078317,1,1,0,0,0,23,11,0,12,7,0,0,3,-4,0,0,0,0,0,0,13.436940209
9,0.00246168144106,88424,88424,0.797302171247,-0.00227345248762,0.0483362901927,2.87251961444e-11,4.59366940129e-12,2497,1,0,13123.9825001,11.7104587555,6761,0,0,0.161354140234,0.989983206102,0,0.1,0,0,10225.1850383,1,1,0,0,0,27,11,0,16,8,0,0,4,0,0,0,0,0,0,0,13.2605169173
10,0.0024567932677,88423,88423,0.79729315444,0.000104883877644,0.0483362901927,2.8192275923e-11,4.41050966936e-12,2492,1,0,13329.7961249,11.7907500267,6878,0,0,0.125516406385,0.981384889254,0,0.1,0,0,10262.5969772,1,1,0,0,0,25,10,0,15,9,0,0,1,-3,0,0,0,0,0,0,23.47198025
