iteration,compliance,occupancy_volume,printed_voxels,achieved_vf,offset_mm,dt_mm_per_unit_v,max_abs_v,lambda,cg_iterations,converged,used_multigrid,solve_ms,sensitivity_ms,band_cells,hilb_iterations,hilb_relres,reinit_rms,reinit_max,hj_steps,gamma,kappa_rms,perim_weight,interface_area_mm2,robust_worst,robust_ratio,nuc_frozen,diffusion_energy,diffusion_ratio,void_components,euler_chi,cavities,tunnels,mono_violations,mono_reverts,mono_repaired_voxels,new_components,split_delta,renuc_events,renuc_voxels,frac_cut_cells,frac_area_mm2,frac_build_ms,frac_sens_ms,iteration_wall_s
1,0.00334613016148,88423,88423,0.79729315444,0.33208378033,0.0483362901927,2.65238252707e-10,2.63053207257e-11,1085,1,0,93524.5910001,13.7342500687,61467,0,0,0.378166109528,0.99985652937,0,0.1,0.500979172428,1,73803.6123535,1,1,0,0,0,882,356,46,572,0,0,0,0,0,0,0,0,0,0,0,93.8653717497
2,0.00307555204738,88423,88423,0.79729315444,-0.0422676666465,0.0483362901927,2.41040676791e-10,2.21403923971e-11,1791,1,0,26858.201417,12.173707962,56766,0,0,0.36028298087,0.999518866617,0,0.1,0.496551932375,1,69997.0538577,1,1,0,0,0,886,-293,57,1236,1,0,0,4,0,0,0,0,0,0,0,27.0373713751
3,0.00293813756237,88424,88424,0.797302171247,-0.0145923435335,0.0483362901927,2.12742587868e-10,1.90025488504e-11,1789,1,0,26991.9873328,12.595334053,50909,0,0,0.362137385412,0.999827673374,0,0.1,0.479589195971,1,68003.982282,1,1,0,0,0,863,-790,66,1719,2,0,0,5,-28,0,0,0,0,0,0,27.1641229577
4,0.00294939499554,88424,88424,0.797302171247,0.04605366124,0.0483362901927,2.13154599843e-10,1.71680209752e-11,1829,1,0,18378.8692908,12.0365839005,50800,0,0,0.372310169457,0.999792128373,0,0.1,0.478597468654,1,69801.5105407,1,1,0,0,0,865,-883,66,1814,2,0,0,0,2,0,0,0,0,0,0,18.5537787089
5,0.00287058661287,88424,88424,0.797302171247,0.00140440077593,0.0483362901927,2.20124163986e-10,1.5163185393e-11,1821,1,0,17589.9874578,12.298500061,50493,0,0,0.362306064954,0.99951710186,0,0.1,0.483204179992,1,67156.3448643,1,1,0,0,0,561,-370,73,1004,3,0,0,1,-305,0,0,0,0,0,0,34.4597338326
6,0.00275857508449,88424,88424,0.797302171247,-0.017540377661,0.0483362901927,2.12205278297e-10,1.19478778059e-11,1832,1,0,17995.6537499,12.751584053,43046,0,0,0.362001551059,0.999697211203,0,0.1,0.49942124784,1,61196.7024703,1,1,0,0,0,474,-52,73,599,3,0,0,0,-87,0,0,0,0,0,0,18.1851484999
7,0.00264672156537,88423,88423,0.79729315444,-0.0442869264069,0.0483362901927,1.59822698561e-10,9.879565311e-12,1831,1,0,18640.052,12.4407076836,40550,0,0,0.36362704566,0.99951710186,0,0.1,0.499938975938,1,56100.004148,1,1,0,0,0,482,29,73,526,3,0,0,0,8,0,0,0,0,0,0,18.8207438327
8,0.00260415863903,88423,88423,0.79729315444,-0.00119375885163,0.0483362901927,1.35718982497e-10,8.58733954559e-12,1847,1,0,17713.905333,12.3750419617,35859,0,0,0.364468200486,0.99951710186,0,0.1,0.487097225909,1,53611.2929939,1,1,0,0,0,480,375,80,185,4,0,0,5,-7,0,0,0,0,0,0,17.8862288748
9,0.00253618761669,88424,88424,0.797302171247,-0.0311766241243,0.0483362901927,1.24983395503e-10,6.68922552857e-12,1832,1,0,17783.9858341,13.0355000496,34251,0,0,0.311323837392,0.99951710186,0,0.1,0.492653949602,1,49377.0489595,1,1,0,0,0,476,275,81,282,5,0,0,1,-5,0,0,0,0,0,0,18.0815742919
10,0.00250039946874,88424,88424,0.797302171247,-0.00775386146862,0.0483362901927,1.08704646312e-10,5.48939504209e-12,1840,1,0,18126.1402922,12.2685418129,31805,0,0,0.327331531523,0.999683287165,0,0.1,0.49882875412,1,46256.2891933,1,1,0,0,0,476,179,81,378,6,0,0,1,-1,0,0,0,0,0,0,35.169813666
