iteration,compliance,occupancy_volume,printed_voxels,achieved_vf,offset_mm,dt_mm_per_unit_v,max_abs_v,lambda,cg_iterations,converged,used_multigrid,solve_ms,sensitivity_ms,band_cells,hilb_iterations,hilb_relres,reinit_rms,reinit_max,hj_steps,gamma,kappa_rms,perim_weight,interface_area_mm2,robust_worst,robust_ratio,nuc_frozen,diffusion_energy,diffusion_ratio,void_components,euler_chi,cavities,tunnels,mono_violations,mono_reverts,mono_repaired_voxels,new_components,split_delta,renuc_events,renuc_voxels,frac_cut_cells,frac_area_mm2,frac_build_ms,frac_sens_ms,iteration_wall_s
1,0.00599909064231,58590,58590,0.528294741398,0.615920240039,0.0483362901927,5.07448299932e-10,4.78374649192e-11,1245,1,0,87690.1247077,13.3835000992,52270,0,0,0.440097571364,0.999728351407,0,0.1,0.48947403296,1,70150.0572513,1,1,0,0,0,52,1475,0,-1423,0,0,0,0,0,0,0,0,0,0,0,87.933489209
2,0.00550075748742,58591,58591,0.528303758205,0.0158300435188,0.0483362901927,4.15872777488e-10,4.07342065882e-11,2561,1,0,20788.7855411,14.3352923393,53409,0,0,0.4385634306,0.999870727539,0,0.1,0.488048263376,1,68479.3155786,1,1,0,0,0,33,505,0,-472,0,0,0,0,-19,0,0,0,0,0,0,20.9608906251
3,0.00488225676385,58590,58590,0.528294741398,-0.0043840848002,0.0483362901927,3.49047151481e-10,3.51758806089e-11,2437,1,0,20851.8057499,13.5494999886,54368,0,0,0.440415099381,0.999678909566,0,0.1,0.486492572887,1,67707.624126,1,1,0,0,0,33,-285,0,318,0,0,0,0,0,0,0,0,0,0,0,21.1423822907
4,0.00488489092855,58590,58590,0.528294741398,0.0297932579965,0.0483362901927,3.37455340834e-10,4.0091076043e-11,2522,1,0,15167.4259162,12.1079587936,49915,0,0,0.44219903553,0.999722324338,0,0.1,0.476614399337,1,61195.8589584,1,1,0,0,0,114,-1054,0,1168,0,0,0,0,81,0,0,0,0,0,0,15.324208166
5,0.00461099883974,58590,58590,0.528294741398,0.00438415708765,0.0483362901927,2.66020063967e-10,3.99390141462e-11,2541,1,0,16202.7353749,12.2469587326,49265,0,0,0.370808993431,0.999870561978,0,0.1,0.474729432811,1,57890.102002,1,1,0,0,0,275,-1501,31,1807,1,0,0,1,160,0,0,0,0,0,0,27.0576069169
6,0.00481335441858,58591,58591,0.528303758205,-0.0616918359506,0.0483362901927,3.17915337714e-09,6.39754609868e-11,3400,1,0,20097.0107079,12.2713327408,39232,0,0,0.415867806316,0.999900179223,0,0.1,0.484934408561,1,49528.9269723,1,1,0,0,0,276,-1298,30,1604,1,0,0,0,1,0,0,0,0,0,0,20.288269375
7,0.00486736963941,58590,58590,0.528294741398,0.0324565852139,0.0483362901927,2.97957037137e-09,6.89574394155e-11,3492,1,0,20442.0014582,11.9866666794,37520,0,0,0.37809321619,0.999870561978,0,0.1,0.483397553661,1,46235.3871902,1,1,0,0,0,251,-484,28,763,1,0,0,0,-25,0,0,0,0,0,0,20.6016315827
8,0.00459964714268,58591,58591,0.528303758205,0.00519929265433,0.0483362901927,1.55082885833e-09,6.13943094917e-11,3444,1,0,20448.42625,11.8712921143,35845,0,0,0.376374711081,0.999870561978,0,0.1,0.483627449918,1,44412.4630978,1,1,0,0,0,240,-119,28,387,2,0,0,1,-12,0,0,0,0,0,0,20.6086562499
9,0.00415580414118,58591,58591,0.528303758205,-0.0264812872406,0.0483362901927,4.23914986466e-10,4.3377252458e-11,3435,1,0,20458.940084,15.2012906075,34828,0,0,0.411948882455,0.999900179223,0,0.1,0.481034721636,1,43926.7960854,1,1,0,0,0,240,8,32,264,3,0,0,1,-1,0,0,0,0,0,0,20.6983823329
10,0.00413117399551,58591,58591,0.528303758205,0.00831567363694,0.0483362901927,1.97493130559e-10,4.48143221675e-11,3458,1,0,20858.6439157,11.9474592209,32927,0,0,0.372800472942,0.999807921098,0,0.1,0.479964463219,1,41028.2222204,1,1,0,0,0,230,107,31,154,4,0,0,2,-12,0,0,0,0,0,0,31.6190033327
