arm,rung,requested_vf,achieved_vf,iterations,wall_s,compliance,margin_worst_case,margin_effective,max_von_mises_mpa,accepted,verts,tris,n_cad,n_cut,n_ambiguous,n_oblique,obl_all_rms_mm,obl_all_max_mm,obl_all_p99_mm,obl_cad_rms_mm,obl_cut_rms_mm,dihedral_all_deg,dihedral_cut_deg,dihedral_cad_deg,dihedral_refcut_deg,dihedral_refcad_deg,n_refcut,n_refcad,volume_mm3,min_section_mm2,min_feature_violations,field_lattice,field_spacing_mm,boundary_samples,binary_boundary,fractional_samples,crossings,crossing_rms_frac,crossing_rms_mm,midpoint_share
SIMP,0.68,0.680000,0.679951,27,0.000000,0.000000,3254.356637,673.856173,0.016900,1,142354,284704,112583,26191,3580,28365,1.060542,10.333206,4.784076,0.429291,3.745211,8.407493,7.552074,7.584248,10.189099,8.590452,40928,121418,440550.901897,3.410559,5464,design,1.705279,54081,47965,28374,29803,0.076042,0.129674,0.852800
SIMP,0.52,0.520000,0.520005,127,0.000000,0.000000,3389.417071,701.822163,0.016227,1,145550,291100,102843,38975,3732,27041,1.668416,10.386693,6.160131,0.450660,4.169128,9.235320,9.633753,7.902345,10.088480,9.170355,37474,116749,403281.985389,3.410559,5047,design,1.705279,60567,60563,45194,33848,0.001329,0.002266,0.999586
SIMP,0.38,0.380000,0.380000,140,0.000000,0.000000,3290.912400,681.425511,0.016713,1,165096,330212,94724,66549,3823,26963,2.920980,14.315680,10.808754,0.439357,5.795062,9.810777,10.458037,8.055534,9.937820,9.516837,36429,109262,330882.206697,3.410559,5134,design,1.705279,63131,63130,55060,35386,0.003265,0.005568,0.999915
SIMP,0.26,0.260000,0.259996,153,0.000000,0.000000,3014.120054,624.112115,0.018247,1,167778,335588,89254,74646,3878,26388,3.487837,15.599243,12.902407,0.437524,6.419456,9.941336,10.265723,8.303072,9.865943,9.831157,35896,104643,288713.430385,3.410559,5523,design,1.705279,64679,64678,63381,36453,0.001746,0.002978,0.999890
L0_none,0.53,0.528300,0.528295,120,0.000000,0.003339,0.000000,0.000000,0.000000,-1,182086,364388,90108,88066,3912,29392,4.256228,17.402512,13.654006,0.483953,7.024709,10.587129,11.521587,8.297995,10.240112,9.784681,36535,108195,289239.332166,3.410559,5634,external,1.705279,66816,58103,16396,40216,0.146924,0.250547,0.675726
L1_perim1,0.53,0.528300,0.528295,120,0.000000,0.003498,0.000000,0.000000,0.000000,-1,163564,327164,90642,69115,3807,26757,3.460928,15.601467,12.637443,0.440829,6.416832,9.160340,8.668654,8.155560,9.753154,9.536339,35041,103706,288875.366791,3.410559,5184,external,1.705279,62164,56790,10176,35195,0.120973,0.206293,0.795085
BL_r2,0.53,0.528300,0.528304,120,0.000000,0.003514,0.000000,0.000000,0.000000,-1,167720,335500,92279,71845,3596,26184,3.657368,15.461244,13.018528,0.450392,6.437488,9.700162,10.036337,8.026263,9.608059,9.485722,34471,104822,290394.448453,3.410559,5203,external,1.705279,63400,48150,70688,36021,0.152545,0.260131,0.537270
BL_r3,0.53,0.528300,0.528295,120,0.000000,0.003461,0.000000,0.000000,0.000000,-1,164640,329308,92339,68883,3418,26238,3.565302,14.907097,12.371520,0.453760,6.187927,9.811632,10.161672,8.002056,9.624488,9.560679,34549,105451,291084.669949,3.410559,5144,external,1.705279,62030,47584,70688,34797,0.148081,0.252519,0.570940
BL_robust,0.53,0.528300,0.528304,120,0.000000,0.003453,0.000000,0.000000,0.000000,-1,170940,341984,89342,77723,3875,27551,3.800289,15.974293,13.037271,0.474997,6.643858,9.303863,8.964349,8.236165,9.929005,9.511534,35817,105930,288722.403786,3.410559,5557,external,1.705279,64926,59269,12097,37273,0.112438,0.191738,0.750141
BL_stress,0.53,0.528300,0.528304,120,0.000000,0.003948,0.000000,0.000000,0.000000,-1,158612,317260,86645,68252,3715,24437,3.410232,16.644640,12.643480,0.462922,6.476996,9.129685,8.738866,8.018914,9.708534,9.427591,34648,101926,288821.267372,3.410559,5573,external,1.705279,59692,54298,9800,34457,0.117625,0.200584,0.774037
E1_c1_eta1,0.80,0.797300,0.797302,120,0.000000,0.002391,0.000000,0.000000,0.000000,-1,144676,289348,113213,27887,3576,28588,1.061833,10.334649,4.829181,0.437343,3.670396,8.759603,9.115519,7.691786,10.555847,8.554069,41920,121640,441189.846116,3.410559,5732,external,1.705279,54664,51021,6758,30730,0.123583,0.210743,0.811910
BS_r2,0.80,0.797300,0.797302,120,0.000000,0.002448,0.000000,0.000000,0.000000,-1,154142,308320,113157,37528,3457,27843,1.158054,10.333255,4.963684,0.467609,3.706314,10.089751,14.359683,7.252994,10.372867,8.341193,41570,120677,434361.197907,3.410559,4722,external,1.705279,54261,44401,70688,30550,0.150333,0.256360,0.615450
BS_r3,0.80,0.797300,0.797302,120,0.000000,0.002503,0.000000,0.000000,0.000000,-1,145064,290132,113709,28054,3301,27207,1.091818,10.334213,4.785020,0.483689,3.784365,9.003390,10.996713,7.275417,10.988419,8.422777,41161,119361,438214.900838,3.410559,4818,external,1.705279,53386,43685,70688,29760,0.154743,0.263881,0.620161
BS_robust,0.80,0.797300,0.797293,120,0.000000,0.002386,0.000000,0.000000,0.000000,-1,146820,293644,115590,27511,3719,29032,1.063517,10.393183,4.681748,0.447828,3.842487,8.533429,7.518958,7.775705,9.846618,8.545246,40625,122710,446796.703325,3.410559,5740,external,1.705279,56032,52152,7520,32389,0.113188,0.193017,0.785143
