part 110904 voxels, voxel 4.9589 mm3
arm              void  sealed  sealed mm3   % void    n
L0_none         52314      21       104.1    0.04%    8
L1_perim1       52314      12        59.5    0.02%    5
BL_r2           52313      36       178.5    0.07%    9
BL_r3           52314      12        59.5    0.02%    4
BL_robust       52313       9        44.6    0.02%    8
BL_stress       52313       3        14.9    0.01%    2
E1_c1_eta1      22480    1923      9536.0    8.55%   17
BS_r2           22480    1483      7354.1    6.60%   32
BS_r3           22480    1197      5935.8    5.32%   21
BS_robust       22481    3338     16552.9   14.85%   19
BS_stress       22481    2282     11316.2   10.15%   34
