arm               snap    void  sealed        mm3  % void    n
L0_none        it0120.   52314      21      104.1   0.04%    8
L1_perim1      it0120.   52314       0        0.0   0.00%    0
BL_r2          it0120.   52313      14       69.4   0.03%    4
BL_r3          it0120.   52314       3       14.9   0.01%    3
BL_robust      it0120.   52313       9       44.6   0.02%    8
BL_stress      it0120.   52313       3       14.9   0.01%    2
E1_c1_eta1     it0120.   22480    1199     5945.7   5.33%   16
E2_c1_eta2     it0120.   22480    1889     9367.4   8.40%   27
BS_r2          it0120.   22480     972     4820.1   4.32%   18
BS_r3          it0120.   22480     791     3922.5   3.52%   17
BS_robust      it0120.   22481    2250    11157.6  10.01%   16
BS_stress      it0120.   22481    1057     5241.6   4.70%   29
V0_none        it0060.   22480    2145    10636.9   9.54%   39
V1_perim1      it0060.   22481     812     4026.6   3.61%   19
V2_gyr20       it0060.   22481    1345     6669.7   5.98%   26
V3_stress      it0060.   22481      22      109.1   0.10%    9
