rung,region,region_voxels,f,cells_per_member,in_range,mass_g,dmass_g,margin_effective,margin_solid_only,dmargin_pct,strut_margin,out_of_regime,sealed,accepted,load_path,refused
0.68,anchor-18,10966,0.2,13.64223442,1,,,,,,,,,,1
0.68,anchor-18,10966,0.3,13.64223442,1,496.5225152,-47.20136191,173.1172278,665.6093847,-74.30946918,173.1172278,1,0,1,1,0
0.68,anchor-18,10966,0.45,13.64223442,1,506.6370928,-37.08678436,232.8551603,670.3494398,-65.4443827,232.8551603,1,0,1,1,0
0.68,anchor-18,10966,0.6,13.64223442,1,516.7516703,-26.97220681,361.291547,672.3268714,-46.38447171,361.291547,1,0,1,1,0
0.68,anchor-18,10966,0.75,13.64223442,1,526.8662479,-16.85762925,523.9915659,673.2345884,-22.23985073,523.9915659,1,0,1,1,0
0.68,protect-16,10554,0.2,1.705279303,0,,,,,,,,,,1
0.68,protect-16,10554,0.3,1.705279303,0,,,,,,,,,,1
0.68,protect-16,10554,0.45,1.705279303,0,,,,,,,,,,1
0.68,protect-16,10554,0.6,1.705279303,0,,,,,,,,,,1
0.68,protect-16,10554,0.75,1.705279303,0,,,,,,,,,,1
0.68,load-20,4802,0.2,10.23167582,1,,,,,,,,,,1
0.68,load-20,4802,0.3,10.23167582,1,523.0544498,-20.66942731,423.2027764,553.0463953,-37.19686879,423.2027764,1,0,1,1,0
0.68,load-20,4802,0.45,10.23167582,1,527.4836128,-16.24026432,390.3034821,586.2157784,-42.07911156,390.3034821,1,0,1,1,0
0.68,load-20,4802,0.6,10.23167582,1,531.9127758,-11.81110132,473.3129173,613.0417178,-29.76054292,473.3129173,1,0,1,1,0
0.68,load-20,4802,0.75,10.23167582,1,536.3419388,-7.381938325,571.5728658,638.7859129,-15.1788039,571.5728658,1,0,1,1,0
0.68,load-1,3439,0.2,6.821117211,1,,,,,,,,,,1
0.68,load-1,3439,0.3,6.821117211,1,528.9212614,-14.80261569,159.2031247,454.5288988,-76.37431678,159.2031247,1,1,1,1,0
0.68,load-1,3439,0.45,6.821117211,1,532.0932505,-11.63062661,170.0062512,601.3518216,-74.77113693,170.0062512,1,1,1,1,0
0.68,load-1,3439,0.6,6.821117211,1,535.2652396,-8.458637535,233.6633848,695.8885271,-65.32444248,233.6633848,1,1,1,1,0
0.68,load-1,3439,0.75,6.821117211,1,538.4372287,-5.286648459,313.9570446,696.1055588,-53.40889388,313.9570446,1,1,1,1,0
0.68,load-24,2778,0.2,3.410558605,0,,,,,,,,,,1
0.68,load-24,2778,0.3,3.410558605,0,,,,,,,,,,1
0.68,load-24,2778,0.45,3.410558605,0,,,,,,,,,,1
0.68,load-24,2778,0.6,3.410558605,0,,,,,,,,,,1
0.68,load-24,2778,0.75,3.410558605,0,,,,,,,,,,1
0.68,load-25,2609,0.2,6.821117211,1,,,,,,,,,,1
0.68,load-25,2609,0.3,6.821117211,1,532.4938613,-11.2300158,252.3981823,449.5068671,-62.54420566,252.3981823,1,0,1,1,0
0.68,load-25,2609,0.45,6.821117211,1,534.9002933,-8.82358384,277.9033874,490.4160181,-58.7592429,277.9033874,1,0,1,1,0
0.68,load-25,2609,0.6,6.821117211,1,537.3067252,-6.417151884,399.5762975,535.6659526,-40.70302928,399.5762975,1,0,1,1,0
0.68,load-25,2609,0.75,6.821117211,1,539.7131572,-4.010719927,447.9514829,592.0969529,-33.52417014,447.9514829,1,0,1,1,0
0.68,load-21,1455,0.2,15.34751372,1,,,,,,,,,,1
0.68,load-21,1455,0.3,15.34751372,1,537.4610665,-6.262810649,430.3071669,673.8049066,-36.14257994,430.3071669,1,0,1,1,0
0.68,load-21,1455,0.45,15.34751372,1,538.8030973,-4.920779796,418.0196663,673.8102669,-37.96604036,418.0196663,1,0,1,1,0
0.68,load-21,1455,0.6,15.34751372,1,540.1451282,-3.578748942,535.5791029,673.8199616,-20.52026463,535.5791029,1,0,1,1,0
0.68,load-21,1455,0.75,15.34751372,1,541.487159,-2.236718089,673.59046,673.8322879,-0.03943169203,673.59046,1,0,1,1,0
0.68,load-4,1279,0.2,6.821117211,1,,,,,,,,,,1
0.68,load-4,1279,0.3,6.821117211,1,538.2186298,-5.505247299,190.2638212,654.3055794,-71.76492124,190.2638212,1,0,1,1,0
0.68,load-4,1279,0.45,6.821117211,1,539.3983257,-4.325551449,260.7684974,666.8084019,-61.30205407,260.7684974,1,0,1,1,0
0.68,load-4,1279,0.6,6.821117211,1,540.5780215,-3.1458556,393.9142738,667.9974307,-41.54327145,393.9142738,1,0,1,1,0
0.68,load-4,1279,0.75,6.821117211,1,541.7577174,-1.96615975,539.7955152,669.8208425,-19.89455065,539.7955152,1,0,1,1,0
0.68,load-22,1121,0.2,10.23167582,1,,,,,,,,,,1
0.68,load-22,1121,0.3,10.23167582,1,538.8987151,-4.825162019,299.6056843,673.7347267,-55.53863029,299.6056843,0,0,1,1,0
0.68,load-22,1121,0.45,10.23167582,1,539.9326784,-3.791198729,394.5061353,673.7681458,-41.45543943,394.5061353,0,0,1,1,0
