iteration,margin
1,93.9015241330
2,95.7201815203
3,96.6259900545
4,97.0998665305
5,97.4130671291
6,97.6753199506
7,97.8868523420
8,98.0579328853
9,98.2097299734
10,98.3516596619
11,98.4750134819
12,98.5530310651
13,98.6066607965
14,98.6649820126
15,98.7164808885
16,98.7675940942
17,98.8316029467
18,98.8561757343
19,98.9060543397
20,98.9004828026
21,98.9310020545
22,98.9412260198
23,98.9565686835
24,98.9736261501
25,98.9833494845
26,98.9898145992
27,98.9855861649
28,98.9858700399
29,98.9861038908
30,98.9929492274
31,98.9951271045
32,98.9948512050
33,98.9948512050
34,98.6865038680
35,98.8031922269
36,98.8869776610
37,98.9330327200
38,98.9669206822
39,98.9885159463
40,98.9951725870
41,98.9948762798
42,98.9948314543
43,98.9941026758
44,98.9961093099
45,99.0006930144
46,99.0005253270
47,99.0027884565
48,99.0002628164
49,98.9917145449
50,98.9808216364
51,98.9710273824
52,98.9660502008
53,98.9664782390
54,98.9675642804
55,98.9708520507
56,98.9751916735
57,98.9794948843
58,98.9832652194
59,98.9867456558
60,98.9914463412
61,98.9961077596
62,98.9979334760
63,98.9989774560
64,98.9995781604
65,98.9997331300
66,98.9982621462
67,98.9977643905
68,98.9966016636
69,98.9943603865
70,98.9916674877
71,98.9893509262
72,98.9664117238
73,98.9639660996
74,98.9609965007
75,98.9576667192
76,98.9543001593
77,98.9512548174
78,98.9481269988
79,98.9445653964
80,98.9409455545
81,98.9373133765
82,98.9328409183
83,98.8578166440
84,98.8655572110
85,98.8608913734
86,98.8559047164
87,98.8503809923
88,98.8441005799
89,98.8376321828
90,98.8332678227
91,98.8284273850
92,98.8244917750
93,98.8178583609
94,98.6003326127
95,98.5985489582
96,98.5742604758
97,98.5564621501
98,98.5463550945
99,98.5473732294
100,98.5435779733
101,98.5387758992
102,98.5385505810
103,98.5396463148
104,98.5400104451
105,98.1795932197
106,98.4548359009
107,98.2095654557
108,98.3503370090
109,98.3073766765
110,98.3160527199
111,98.3174426525
112,98.3108326846
113,98.3094683611
114,98.3084247754
115,98.3072878559
116,98.4344275691
117,98.4156992137
118,98.1112607834
119,97.8763856727
120,98.1782007813
121,98.0777139808
122,98.2761244712
123,98.0515574277
124,98.2679350177
125,97.9698742732
126,97.5272053047
127,99.7355588017
