functional,probe,step,analytic,central_difference,rel_error_pct
V,random dir 0,0.001,1.05246762,1.053363569,-0.0851
V,random dir 0,0.01,1.05246762,1.053363923,-0.0851
V,random dir 0,0.1,1.05246762,1.053363925,-0.0851
V,random dir 0,0.3,1.05246762,1.053360413,-0.0848
V,random dir 0,1,1.05246762,1.05347481,-0.0956
V,random dir 1,0.001,-0.910122336,-0.9145053846,0.4793
V,random dir 1,0.01,-0.910122336,-0.9145052591,0.4793
V,random dir 1,0.1,-0.910122336,-0.914504642,0.4792
V,random dir 1,0.3,-0.910122336,-0.914504265,0.4792
V,random dir 1,1,-0.910122336,-0.9145911407,0.4886
V,coefficient 20136,0.001,-7.323967853,-7.365480171,0.5636
V,coefficient 20136,0.01,-7.323967853,-7.366126511,0.5723
V,coefficient 20136,0.1,-7.323967853,-7.372880982,0.6634
V,coefficient 20136,0.3,-7.323967853,-7.445000724,1.6257
V,coefficient 20136,1,-7.323967853,-7.848343555,6.6814
V,coefficient 11982,0.001,-7.322958239,-7.36487655,0.5692
V,coefficient 11982,0.01,-7.322958239,-7.365495401,0.5775
V,coefficient 11982,0.1,-7.322958239,-7.372460363,0.6714
V,coefficient 11982,0.3,-7.322958239,-7.444760558,1.6361
V,coefficient 11982,1,-7.322958239,-7.847797552,6.6877
V,coefficient 14696,0.001,-7.321279321,-7.362761764,0.5634
V,coefficient 14696,0.01,-7.321279321,-7.363380206,0.5718
V,coefficient 14696,0.1,-7.321279321,-7.370327645,0.6655
V,coefficient 14696,0.3,-7.321279321,-7.442612464,1.6302
V,coefficient 14696,1,-7.321279321,-7.845574404,6.6827
C_continuum,random dir 0,0.01,5.598282426e-08,3.588257354e-08,56.0167
C_discrete,random dir 0,0.01,3.577040014e-08,3.588257354e-08,-0.3126
C_continuum,random dir 0,0.1,5.598282426e-08,3.588313548e-08,56.0143
C_discrete,random dir 0,0.1,3.577040014e-08,3.588313548e-08,-0.3142
C_continuum,random dir 1,0.01,5.085082326e-08,3.505741444e-08,45.0501
C_discrete,random dir 1,0.01,3.539651045e-08,3.505741444e-08,0.9673
C_continuum,random dir 1,0.1,5.085082326e-08,3.505764016e-08,45.0492
C_discrete,random dir 1,0.1,3.539651045e-08,3.505764016e-08,0.9666
C_continuum,coefficient 20136,0.01,4.505556531e-07,4.239026228e-07,6.2875
C_discrete,coefficient 20136,0.01,4.173997185e-07,4.239026228e-07,-1.5341
C_continuum,coefficient 20136,0.1,4.505556531e-07,4.250598275e-07,5.9982
C_discrete,coefficient 20136,0.1,4.173997185e-07,4.250598275e-07,-1.8021
C_continuum,coefficient 11982,0.01,2.04327036e-07,1.903786869e-07,7.3266
C_discrete,coefficient 11982,0.01,1.874671139e-07,1.903786869e-07,-1.5294
C_continuum,coefficient 11982,0.1,2.04327036e-07,1.909392524e-07,7.0115
C_discrete,coefficient 11982,0.1,1.874671139e-07,1.909392524e-07,-1.8185
C_continuum,coefficient 14696,0.01,2.999638725e-07,2.800185354e-07,7.1229
C_discrete,coefficient 14696,0.01,2.75826819e-07,2.800185354e-07,-1.4969
C_continuum,coefficient 14696,0.1,2.999638725e-07,2.807788061e-07,6.8328
C_discrete,coefficient 14696,0.1,2.75826819e-07,2.807788061e-07,-1.7637
