functional,probe,step,analytic,central_difference,rel_error_pct
V,random dir 0,0.001,1.05246762,1.053363569,-0.0851
V,random dir 0,0.01,1.05246762,1.053363923,-0.0851
V,random dir 0,0.1,1.05246762,1.053363925,-0.0851
V,random dir 0,0.3,1.05246762,1.053360413,-0.0848
V,random dir 0,1,1.05246762,1.05347481,-0.0956
V,coefficient 20136,0.001,-7.323967853,-7.365480171,0.5636
V,coefficient 20136,0.01,-7.323967853,-7.366126511,0.5723
V,coefficient 20136,0.1,-7.323967853,-7.372880982,0.6634
V,coefficient 20136,0.3,-7.323967853,-7.445000724,1.6257
V,coefficient 20136,1,-7.323967853,-7.848343555,6.6814
