arm,rung,requested_vf,achieved_vf,iterations,wall_s,compliance,margin_worst_case,margin_effective,max_von_mises_mpa,accepted,verts,tris,n_cad,n_cut,n_ambiguous,n_oblique,obl_all_rms_mm,obl_all_max_mm,obl_all_p99_mm,obl_cad_rms_mm,obl_cut_rms_mm,dihedral_all_deg,dihedral_cut_deg,dihedral_cad_deg,dihedral_refcut_deg,dihedral_refcad_deg,n_refcut,n_refcad,volume_mm3,min_section_mm2,min_feature_violations,field_lattice,field_spacing_mm,boundary_samples,binary_boundary,fractional_samples,crossings,crossing_rms_frac,crossing_rms_mm,midpoint_share
SIMP,0.68,0.680000,0.679951,27,0.000000,0.000000,3254.356637,673.856173,0.016900,1,142354,284704,112583,26191,3580,28365,1.060542,10.333206,4.784076,0.429291,3.745211,8.407493,7.552074,7.584248,10.189099,8.590452,40928,121418,440550.901897,3.410559,5464,design,1.705279,54081,47965,28374,29803,0.076042,0.129674,0.852800
SIMP,0.52,0.520000,0.520005,127,0.000000,0.000000,3389.417071,701.822163,0.016227,1,145550,291100,102843,38975,3732,27041,1.668416,10.386693,6.160131,0.450660,4.169128,9.235320,9.633753,7.902345,10.088480,9.170355,37474,116749,403281.985389,3.410559,5047,design,1.705279,60567,60563,45194,33848,0.001329,0.002266,0.999586
SIMP,0.38,0.380000,0.380000,140,0.000000,0.000000,3290.912400,681.425511,0.016713,1,165096,330212,94724,66549,3823,26963,2.920980,14.315680,10.808754,0.439357,5.795062,9.810777,10.458037,8.055534,9.937820,9.516837,36429,109262,330882.206697,3.410559,5134,design,1.705279,63131,63130,55060,35386,0.003265,0.005568,0.999915
SIMP,0.26,0.260000,0.259996,153,0.000000,0.000000,3014.120054,624.112115,0.018247,1,167778,335588,89254,74646,3878,26388,3.487837,15.599243,12.902407,0.437524,6.419456,9.941336,10.265723,8.303072,9.865943,9.831157,35896,104643,288713.430385,3.410559,5523,design,1.705279,64679,64678,63381,36453,0.001746,0.002978,0.999890
B_heaviside_r0.68,0.68,0.680000,0.680000,60,0.000000,0.000000,0.000000,0.000000,0.000000,-1,146076,292148,110668,31528,3880,27977,1.155459,10.348343,4.726626,0.474059,3.590121,8.425433,7.609008,7.624407,9.893529,8.578839,41786,122080,436387.220841,3.410559,3894,design,1.705279,54930,35169,406213,31805,0.147979,0.252345,0.603270
B_heaviside_r0.26,0.26,0.260000,0.260000,60,0.000000,0.000000,0.000000,0.000000,0.000000,-1,165114,330260,82889,77883,4342,24699,4.021327,16.582142,14.584667,0.497825,7.077893,9.082534,8.406523,8.036607,9.979313,9.620071,37016,97142,268158.630386,3.410559,3128,design,1.705279,61509,23619,450935,36605,0.172536,0.294222,0.382461
C_eta1_r0.68,0.68,0.680000,0.680000,60,0.000000,0.000000,0.000000,0.000000,0.000000,-1,145726,291448,112999,29170,3557,28480,1.076020,10.393319,4.783015,0.450087,3.867255,8.625085,8.217265,7.790742,10.320581,8.695503,41311,122776,442001.958317,3.410559,4776,design,1.705279,54904,47347,391926,31772,0.106807,0.182135,0.672605
C_eta1_r0.26,0.26,0.260000,0.260000,60,0.000000,0.000000,0.000000,0.000000,0.000000,-1,166364,332760,86789,75647,3928,26482,4.026137,16.006378,13.737800,0.445128,6.912582,9.476863,9.422163,8.072878,9.801530,9.606770,36263,102163,282003.111881,3.410559,4285,design,1.705279,61960,48309,434533,36485,0.109501,0.186730,0.451775
D_fraction_r0.68,0.68,0.680000,0.680000,60,0.000000,0.000000,0.000000,0.000000,0.000000,-1,143164,286324,112877,26719,3568,28043,0.943406,10.331877,4.553496,0.434058,3.597365,8.322591,6.964641,7.655653,10.072282,8.568977,37814,121685,444063.800954,3.410559,5096,design,1.705279,54114,50989,383006,30472,0.105297,0.179561,0.822821
D_fraction_r0.26,0.26,0.260000,0.260000,60,0.000000,0.000000,0.000000,0.000000,0.000000,-1,166296,332628,89117,73337,3842,26949,3.812362,16.043405,13.822821,0.441322,6.839628,8.960529,8.282680,8.121737,10.148921,9.455124,32589,103626,288643.990623,3.410559,5292,design,1.705279,62098,57201,413826,35940,0.118707,0.202429,0.774485
A_ship_r0.68,0.68,0.680000,0.680000,60,0.000000,0.000000,0.000000,0.000000,0.000000,-1,144106,288208,112746,27806,3554,28170,0.956850,10.331696,4.539842,0.430098,3.545300,8.365750,7.421369,7.628029,10.228793,8.548290,37867,121997,443366.203856,3.410559,5483,design,1.705279,54221,50945,383111,30666,0.105753,0.180338,0.821496
A_ship_r0.26,0.26,0.260000,0.260000,50,0.000000,0.000000,0.000000,0.000000,0.000000,-1,165198,330428,89532,71826,3840,26563,3.874808,15.837262,13.818846,0.450645,7.028423,8.958138,8.338004,8.048163,10.123179,9.411176,32513,104185,288650.771110,3.410559,5246,design,1.705279,61884,57045,413746,35782,0.118410,0.201923,0.778101
