arm,mode,base_resolution,refine,resolution,nx,ny,nz,spacing_mm,h_over_h0,dofs,samples,mollified,peak_vm_mpa,max_interlayer_mpa,margin_in_plane,margin_interlayer,margin_worst_case,margin_effective,accepted,mass_g,compliance,max_disp_mm,printed_voxels,vol_phi_mm3,vol_active_mm3,vol_frozen_mm3,vol_total_mm3,n_active,n_frozen_solid,n_frozen_void,n_cut,n_full,n_empty_active,peak_vm_active,peak_vm_cut,peak_vm_frozen,active_printed,cut_printed,frozen_printed,peak_vm_active_g5,peak_vm_cut_g5,active_printed_g5,cut_printed_g5,peak_vm_active_g10,peak_vm_cut_g10,active_printed_g10,cut_printed_g10,peak_vm_active_g20,peak_vm_cut_g20,active_printed_g20,cut_printed_g20,peak_vm_boundary,peak_vm_interior,boundary_cells,interior_cells,peak_i,peak_j,peak_k,peak_tag,peak_mask,peak_dist_to_bc_mm,load_path_ok,load_voxels,load_unprinted,fixture_voxels,fixture_unprinted,load_resultant_z,bc_dofs,nodal_loads,wall_s,matvecs,phi_wall_s,occ_wall_s
frac,retag,64,1,64,64,16,59,3.4105586052687227,2,198900,4,1,0.045244606068778045,0.0027547621868885428,1215.6145180354185,10980.984182219687,1215.6145180354185,251.7085365967103,1,558.08806531423375,0.0076829436036459885,0.0030274995281460645,11345,389408.54385387804,106018.31842903985,344267.63465476292,450285.95308380277,4609,8678,0,640,2337,1632,0.023260835704078452,0.013370122007117726,0.045244606068778045,2667,330,8678,0.011529322652457423,0.0081692582746348379,777,46,0.010692791157609384,0.0030791937816695945,345,27,0.0081973770969212476,0,3,0,0.045244606068778045,0.033267178850330044,6486,4859,13,2,28,Load,FrozenSolid,93.821361600006739,1,663,0,868,0,-30.966554641723327,5670,1522,2.8666788749396801,3720,0.019307250156998634,0.12651624996215105
frac,retag,80,1,80,80,20,74,2.7284468842149781,1.5999999999999999,382725,4,1,0.035996010416020824,0.0015499188390826195,1527.9471075917077,19517.150987018558,1527.9471075917077,316.38099475040923,1,542.81991711150374,0.0070980556046117207,0.0013329927790278703,21552,379797.63406404393,147928.36884586836,289705.93544809817,437634.3042939665,11346,14263,0,1282,6593,3471,0.022885842332514113,0.013662227935319354,0.035996010416020824,7289,696,14263,0.020397758047624441,0.011032752771189799,2938,183,0.012358775524679406,0.0054857808632339652,978,35,0.008459534175028486,0.0048834946908864318,29,3,0.035996010416020824,0.028048272271995342,10664,10888,16,2,38,Surface,FrozenSolid,102.33494618738641,1,2076,0,1326,0,-30.966554641722706,8532,3273,6.2738014589995146,4601,0.038606500253081322,0.2424584161490202
frac,retag,96,1,96,96,24,88,2.2737057368458151,1.3333333333333333,647475,4,1,0.031851797147376369,0.0065753123489672768,1726.7471516761918,4600.5419050170431,1726.7471516761918,357.54508700947275,1,532.25475425179616,0.0035746184494082007,0.0030298356584253982,36517,384979.6661303392,192913.155761984,235629.95413824191,428543.10990022589,25433,20046,0,2460,15057,7916,0.019032282726220269,0.019032282726220269,0.031851797147376369,16471,1414,20046,0.015851166775424804,0.015851166775424804,7296,459,0.0082649664638853645,0.0016877938631682846,1989,63,0.0058386555859192028,0.0015736507521265739,146,21,0.031851797147376369,0.025724271475382282,15606,20911,20,2,43,Surface,FrozenSolid,96.645867630116214,1,1932,0,1974,0,-30.966554641721526,12540,3250,10.274379416834563,5467,0.05087320925667882,0.42177691590040922
frac,retag,112,1,112,112,27,103,1.9488906315821273,1.1428571428571428,987168,4,1,0.072997409730715515,0.010291833001910802,753.45139235615034,2939.2237509473512,753.45139235615034,156.01174924532671,1,538.60972932140533,0.011326694388304991,0.0062227773908127516,58680,382817.63782459433,220310.12041518523,213502.43561045465,433812.55602563987,43726,28843,0,3756,27710,12260,0.047439649826123309,0.032424976514954587,0.072997409730715515,29837,2127,28843,0.032424976514954587,0.032424976514954587,13733,855,0.017904118917506935,0.017904118917506935,4012,104,0.011625075866107351,0.0029755756346278362,276,35,0.072997409730715515,0.058756219988930589,24032,34648,23,4,53,Load,FrozenSolid,102.32603816879755,1,1930,0,2484,0,-30.966554641725168,15696,3667,16.328819750342518,5670,0.10001504188403487,0.67995637515559793
frac,retag,128,1,128,128,31,118,1.7052793026343613,1,1473696,4,1,0.022897571857904628,0.0068014858176781426,2402.0014148798523,4447.5576088647349,2402.0014148798523,497.36512033415784,1,539.41339085016,0.0046794745953579776,0.0012531625878784468,87723,392112.59736157319,234479.50128734251,200087.21466185545,434566.715949198,70555,40349,0,5240,44451,20864,0.021071245701652138,0.011258730618868729,0.022897571857904628,47374,2923,40349,0.019976716084263692,0.011258730618868729,24688,1486,0.016225257552326067,0.0056591139157903371,6496,146,0.0085033763338284718,0.0056591139157903371,632,63,0.022897571857904628,0.018050787496449238,31379,56344,126,6,16,Surface,FrozenSolid,26.459319400229226,1,5165,0,3348,0,-30.966554641721721,21000,7382,27.925515083130449,6433,0.10783566674217582,1.0216787089593709
frac,retag,144,1,144,144,35,132,1.5158038245638767,0.88888888888888884,2082780,4,1,0.035978351298476548,0.0095907324102070726,1528.6970640683276,3154.0865396062986,1528.6970640683276,316.53628283264294,1,543.69546832495575,0.0056035324787738258,0.0025553687023003604,125894,389046.82741715322,252631.51931575339,185501.0899716921,438132.60928744549,104768,53262,0,7055,68787,28926,0.025452214163535457,0.023359385637334383,0.035978351298476548,72632,3845,53262,0.019607720718546745,0.015419315978622146,36812,1865,0.015245780828546024,0.011938936924125364,11588,274,0.0092251308108815284,0.0019716520738691633,978,62,0.035978351298476548,0.029757212047256128,40451,85443,30,2,68,Surface,FrozenSolid,102.32237209228764,1,2877,0,4340,0,-30.96655464172208,27072,5752,41.335715249646455,6781,0.22782600019127131,1.463302000425756
frac,retag,160,1,160,160,39,147,1.364223442107489,0.79999999999999993,2859360,4,1,0.049708812113452135,0.019057160309370359,1106.4436598177322,1587.3298806814441,1106.4436598177322,229.10331384452519,1,558.39463250886024,0.0052468789319491905,0.0035477214453224683,177363,392969.68690197333,256150.07706472836,193938.75656601641,450088.83363074478,142798,76385,0,8729,96268,37801,0.034371989033023374,0.030792207966337807,0.049708812113452135,100978,4710,76385,0.022670830621591236,0.016401516100782009,55683,2434,0.016286260505945113,0.016286260505945113,14550,301,0.0088532423993241075,0.0019317713444178218,1497,78,0.049708812113452135,0.040117780282396737,50605,126758,33,1,79,Surface,FrozenSolid,107.09588477795455,1,6350,0,5304,0,-30.966554641724045,32970,9891,59.536415208131075,6987,0.22934024967253208,2.0527394162490964
frac,retag,192,1,192,192,47,176,1.1368528684229076,0.66666666666666663,4919184,4,1,0.070114880858580794,0.024372944384676937,784.42691945712681,1241.1303091889843,784.42691945712681,162.42562838317966,1,538.6934961443593,0.0087828317040089549,0.0051010951033811439,295670,390699.96620048268,279580.07540375338,154571.18112929261,434151.25653304602,264192,105200,0,13623,183109,67460,0.067899260251820873,0.067899260251820873,0.070114880858580794,190470,7361,105200,0.028601006473259187,0.023862765792609299,100969,3812,0.021490071343234728,0.02096191736199042,30280,612,0.011457744688467945,0.0025462112993695665,3248,147,0.070114880858580794,0.054416637259044123,73037,222633,29,37,172,Load,FrozenSolid,194.97192414741045,1,5021,0,7626,0,-30.966554641720343,47124,10032,126.79219945799559,8584,0.48106870893388987,3.3324471251107752
stair_fine,retag,64,1,64,64,16,59,3.4105586052687227,2,198900,4,0,0.045042318121511479,0.0029072212337936131,1221.0739210096935,10405.124882954637,1221.0739210096935,252.83897582144687,1,557.69452591163224,0.0076465010590788807,0.0029802267036595923,11337,389408.54385387804,105486.01527392094,344267.63465476292,449753.64992868388,4609,8678,0,640,2337,1632,0.023245296732462561,0.0095919278935725771,0.045042318121511479,2659,322,8678,0.011572218485750867,0.0063788612386088527,778,47,0.010728678954716516,0.0024664336522012961,345,27,0.0082212339686647297,0,3,0,0.045042318121511479,0.033151567956473484,6532,4805,13,2,28,Load,FrozenSolid,93.821361600006739,1,663,0,868,0,-30.966554641723327,5670,1522,2.9432142502628267,3694,0.017951999790966511,0.12290820758789778
stair_fine,retag,80,1,80,80,20,74,2.7284468842149781,1.5999999999999999,382725,4,0,0.03587939595789847,0.0020918501473702745,1532.9132091448248,14460.88288782452,1532.9132091448248,317.40928960538179,1,542.59323841560524,0.0070738006999282567,0.0013090856832112911,21543,379797.63406404393,147869.25682265352,289705.93544809817,437575.19227075169,11346,14263,0,1282,6593,3471,0.022887688928399364,0.010516709701920856,0.03587939595789847,7280,687,14263,0.020462226982049449,0.0080746473320569452,2936,181,0.012385062176909345,0.0045403048069426839,978,35,0.0084927506125615591,0.0043214693508345598,29,3,0.03587939595789847,0.027978605008686756,10711,10832,16,2,38,Surface,FrozenSolid,102.33494618738641,1,2076,0,1326,0,-30.966554641722706,8532,3273,6.1332557918503881,4503,0.028829583898186684,0.24044462479650974
