arm,resolution,side_mm,radius_frac,spacing_mm,dofs,samples,peak_vm_mpa,sigma0_mpa,K,K_southwell,vol_mm3,vol_exact_mm3,n_cut,printed_voxels,peak_i,peak_j,peak_k,peak_r_mm,peak_rho,wall_s,matvecs
smooth,24,60,0,2.5,46875,4,1.0001393325743246,1,1.0001393325743246,2.0607476635514019,215999.98247149179,216000,0,13824,11,12,12,2.1650635094610968,0.99985991216219772,0.32558129215613008,0
smooth,32,60,0,1.875,107811,4,1.000139080150485,1,1.000139080150485,2.0607476635514019,215999.99260516057,216000,0,32768,15,16,16,1.6237976320958225,0.99985991216219772,0.80936820805072784,0
smooth,48,60,0,1.25,352947,4,1.000138952066606,1,1.000138952066606,2.0607476635514019,215999.99780893652,216000,0,110592,24,23,24,1.0825317547305484,0.99985991216219772,3.7848042082041502,0
smooth,64,60,0,0.9375,823875,4,1.0001389198914969,1,1.0001389198914969,2.0607476635514019,215999.99907564512,216000,0,262144,32,32,32,0.81189881604791125,0.99985991216219772,11.255935291294008,0
smooth,80,60,0,0.75,1594323,4,1.0001389085606007,1,1.0001389085606007,2.0607476635514019,215999.99952673027,216000,0,512000,40,40,40,0.649519052838329,0.99985991216219772,23.940178415738046,0
smooth,96,60,0,0.625,2738019,4,1.0001389040211688,1,1.0001389040211688,2.0607476635514019,215999.99972611701,216000,0,884736,48,48,48,0.54126587736527421,0.99985991216219772,87.024069875013083,0
smooth,24,60,0.16666666666666666,2.5,46875,4,1.8290619085450357,1,1.8290619085450357,2.0607476635514019,211802.79761853482,211811.2097952136,248,13544,9,8,12,10.825317547305483,0.86398657731068507,0.33703149994835258,0
smooth,32,60,0.16666666666666666,1.875,107811,4,2.0077829336567476,1,2.0077829336567476,2.0607476635514019,211806.65602694452,211811.2097952136,408,32144,20,18,17,10.053567463840883,0.55550313530951412,0.84700849978253245,0
smooth,48,60,0.16666666666666666,1.25,352947,4,2.1056148600068396,1,2.1056148600068396,2.0607476635514019,211809.17554173223,211811.2097952136,848,108416,21,16,25,10.058423087144426,0.56200878891832318,2.8654628340154886,0
smooth,64,60,0.16666666666666666,0.9375,823875,4,2.1985709764138637,1,2.1985709764138637,2.0607476635514019,211810.02332776424,211811.2097952136,1640,257104,38,40,32,10.042633727638384,0.56915664774320363,8.0965892500244081,0
smooth,80,60,0.16666666666666666,0.75,1594323,4,2.1769327742625868,1,2.1769327742625868,2.0607476635514019,211810.44454725483,211811.2097952136,2480,502048,52,35,41,10.027306467840702,0.54628093221644025,18.668076833244413,0
smooth,96,60,0.16666666666666666,0.625,2738019,4,2.1623669444151519,1,2.1623669444151519,2.0607476635514019,211810.67009606678,211811.2097952136,3728,867480,43,63,48,10.092347038721964,0.65966014493875413,97.848224207758904,0
staircase,24,60,0.16666666666666666,2.5,46875,1,1.7319923056255826,1,1.7319923056255826,2.0607476635514019,211625,211811.2097952136,0,13544,9,8,12,10.825317547305483,1,0.3520005838945508,0
staircase,32,60,0.16666666666666666,1.875,107811,1,1.8305286073460867,1,1.8305286073460867,2.0607476635514019,211886.71875,211811.2097952136,0,32144,20,12,16,10.730177945868371,1,0.82328200014308095,0
staircase,48,60,0.16666666666666666,1.25,352947,1,2.06765565841873,1,2.06765565841873,2.0607476635514019,211750,211811.2097952136,0,108416,31,20,24,10.364452469860625,1,2.8485269583761692,0
staircase,64,60,0.16666666666666666,0.9375,823875,1,2.0407959171197119,1,2.0407959171197119,2.0607476635514019,211847.16796875,211811.2097952136,0,257104,42,29,32,10.129773180456707,1,7.5987275410443544,0
staircase,80,60,0.16666666666666666,0.75,1594323,1,2.1359716567332181,1,2.1359716567332181,2.0607476635514019,211801.5,211811.2097952136,0,502048,52,34,40,10.249237776537337,1,22.043446416966617,0
staircase,96,60,0.16666666666666666,0.625,2738019,1,2.1816758228696829,1,2.1816758228696829,2.0607476635514019,211787.109375,211811.2097952136,0,867480,36,59,51,10.397377974758829,1,98.442402417305857,0
