phase,cells_across,rho_member,rho_over_cell,K_resolved,K_macro,err_pct
0.0,1.00,0.1991,1.000,4.1146,4.5507,+10.60
0.0,1.25,0.2207,1.109,6.6014,9.6366,+45.98
0.0,1.50,0.1991,1.000,12.5344,21.7569,+73.58
0.0,1.75,0.1852,0.930,12.8237,36.7019,+186.20
0.0,2.00,0.1991,1.000,58.2678,63.4652,+8.92
0.0,2.50,0.1991,1.000,97.6881,126.9099,+29.91
0.0,3.00,0.1991,1.000,226.7742,260.9419,+15.07
0.0,4.00,0.1991,1.000,545.5346,648.2887,+18.84
0.125,1.00,0.3044,1.529,4.3835,4.5507,+3.81
0.125,1.25,0.2770,1.392,11.9196,9.6366,-19.15
0.125,1.50,0.2371,1.191,12.7675,21.7569,+70.41
0.125,1.75,0.2230,1.120,26.2076,36.7019,+40.04
0.125,2.00,0.3044,1.529,97.1228,63.4652,-34.65
0.125,2.50,0.2644,1.328,140.7205,126.9099,-9.81
0.125,3.00,0.3044,1.529,417.4581,260.9419,-37.49
0.125,4.00,0.3044,1.529,1043.0572,648.2887,-37.85
0.25,1.00,0.1991,1.000,0.2256,4.5507,+1917.27
0.25,1.25,0.1800,0.904,1.1059,9.6366,+771.40
0.25,1.50,0.1687,0.848,1.1191,21.7569,+1844.08
0.25,1.75,0.1852,0.930,12.8237,36.7019,+186.20
0.25,2.00,0.1991,1.000,19.4575,63.4652,+226.17
0.25,2.50,0.1800,0.904,29.7663,126.9099,+326.36
0.25,3.00,0.1991,1.000,129.3488,260.9419,+101.73
0.25,4.00,0.1991,1.000,389.6351,648.2887,+66.38
0.375,1.00,0.3044,1.529,3.4556,4.5507,+31.69
0.375,1.25,0.2563,1.287,3.6111,9.6366,+166.86
0.375,1.50,0.2371,1.191,12.7675,21.7569,+70.41
0.375,1.75,0.3216,1.616,51.0527,36.7019,-28.11
0.375,2.00,0.3044,1.529,81.7349,63.4652,-22.35
0.375,2.50,0.2644,1.328,140.7205,126.9099,-9.81
0.375,3.00,0.3044,1.529,375.9524,260.9419,-30.59
0.375,4.00,0.3044,1.529,972.0873,648.2887,-33.31
0.5,1.00,0.1991,1.000,1.0931,4.5507,+316.33
0.5,1.25,0.1800,0.904,1.1059,9.6366,+771.40
0.5,1.50,0.1991,1.000,12.5344,21.7569,+73.58
0.5,1.75,0.2143,1.076,18.9784,36.7019,+93.39
0.5,2.00,0.1991,1.000,28.7455,63.4652,+120.78
0.5,2.50,0.1991,1.000,97.6881,126.9099,+29.91
0.5,3.00,0.1991,1.000,153.4965,260.9419,+70.00
0.5,4.00,0.1991,1.000,427.9981,648.2887,+51.47
PHASE_SWEEP_DONE
